parameter,ASV,rho,p_value,q_value,n,abs_rho
Ax_time [minutes],Cloacibacterium.14,-0.8837156767416605,8.921792881770397e-26,1.546102097446401e-21,75,0.8837156767416605
A_time [minutes],Cloacibacterium.14,0.8837156767416605,8.921792881770397e-26,1.546102097446401e-21,75,0.8837156767416605
Ax_time [minutes],Sediminibacterium.5,-0.8713775870140285,2.823043466762307e-24,7.52645103957806e-21,75,0.8713775870140285
A_time [minutes],Sediminibacterium.5,0.8713775870140285,2.823043466762307e-24,7.52645103957806e-21,75,0.8713775870140285
Ax_time [minutes],Flavobacterium.12,-0.8682930645821203,6.33450566766539e-24,1.463650879570765e-20,75,0.8682930645821203
A_time [minutes],Flavobacterium.12,0.8682930645821203,6.33450566766539e-24,1.463650879570765e-20,75,0.8682930645821203
Ax_time [minutes],Kapabacteriales.11,-0.8630800451908256,2.3728229127253312e-23,4.837627607773368e-20,75,0.8630800451908256
A_time [minutes],Kapabacteriales.11,0.8630800451908256,2.3728229127253312e-23,4.837627607773368e-20,75,0.8630800451908256
Ax_time [minutes],Cloacibacterium.7,-0.8615658696729468,3.4470886842074257e-23,6.288034037155008e-20,75,0.8615658696729468
A_time [minutes],Cloacibacterium.7,0.8615658696729468,3.4470886842074257e-23,6.288034037155008e-20,75,0.8615658696729468
Ax_time [minutes],Phycisphaeraceae.31,-0.8528704524225801,2.711156761956377e-22,4.474570581554576e-19,75,0.8528704524225801
A_time [minutes],Phycisphaeraceae.31,0.8528704524225801,2.711156761956377e-22,4.474570581554576e-19,75,0.8528704524225801
Ax_time [minutes],Cloacibacterium.1,-0.851328191206626,3.8548818823229143e-22,5.80897178954043e-19,75,0.851328191206626
A_time [minutes],Cloacibacterium.1,0.851328191206626,3.8548818823229143e-22,5.80897178954043e-19,75,0.851328191206626
Ax_time [minutes],Azonexus.1,-0.8498888365877045,5.334820347739137e-22,7.008162163296617e-19,75,0.8498888365877045
A_time [minutes],Azonexus.1,0.8498888365877045,5.334820347739137e-22,7.008162163296617e-19,75,0.8498888365877045
Ax_time [minutes],Flavobacterium.9,-0.8497859299906719,5.45948753307968e-22,7.008162163296617e-19,75,0.8497859299906719
A_time [minutes],Flavobacterium.9,0.8497859299906719,5.45948753307968e-22,7.008162163296617e-19,75,0.8497859299906719
Ax_time [minutes],Thauera.30,-0.8451591463428099,1.5157359997158845e-21,1.8096753174713697e-18,75,0.8451591463428099
A_time [minutes],Thauera.30,0.8451591463428099,1.5157359997158845e-21,1.8096753174713697e-18,75,0.8451591463428099
Ax_time [minutes],Arenimonas.4,-0.844856286223864,1.6186253164145661e-21,1.8096753174713697e-18,75,0.844856286223864
A_time [minutes],Arenimonas.4,0.844856286223864,1.6186253164145661e-21,1.8096753174713697e-18,75,0.844856286223864
Ax_time [minutes],Edaphobaculum.2,-0.8412707542991296,3.485528172984222e-21,3.4515691699274328e-18,75,0.8412707542991296
Ax_time [minutes],Flavobacterium.28,-0.8412707542991296,3.485528172984222e-21,3.4515691699274328e-18,75,0.8412707542991296
A_time [minutes],Edaphobaculum.2,0.8412707542991296,3.485528172984222e-21,3.4515691699274328e-18,75,0.8412707542991296
A_time [minutes],Flavobacterium.28,0.8412707542991296,3.485528172984222e-21,3.4515691699274328e-18,75,0.8412707542991296
Ax_time [minutes],Sutterellaceae.3,-0.8403674124226459,4.2159657675508486e-21,3.9492204739877005e-18,75,0.8403674124226459
A_time [minutes],Sutterellaceae.3,0.8403674124226459,4.2159657675508486e-21,3.9492204739877005e-18,75,0.8403674124226459
Ax_time [minutes],Gemmobacter.1,-0.8387143899093898,5.9536003191507275e-21,5.29091880670372e-18,75,0.8387143899093898
A_time [minutes],Gemmobacter.1,0.8387143899093898,5.9536003191507275e-21,5.29091880670372e-18,75,0.8387143899093898
Ax_time [minutes],Stenotrophomonas.2,-0.8359055790470857,1.0607990688840734e-20,8.96737437279344e-18,75,0.8359055790470857
A_time [minutes],Stenotrophomonas.2,0.8359055790470857,1.0607990688840734e-20,8.96737437279344e-18,75,0.8359055790470857
Ax_time [minutes],Cloacibacterium.2,-0.8341312511667157,1.5194157622494023e-20,1.2246844396233032e-17,75,0.8341312511667157
A_time [minutes],Cloacibacterium.2,0.8341312511667157,1.5194157622494023e-20,1.2246844396233032e-17,75,0.8341312511667157
Ax_time [minutes],Flavobacteriales.4,-0.8328210566151775,1.9757273095965628e-20,1.456951762198027e-17,75,0.8328210566151775
Ax_time [minutes],Comamonadaceae.8,-0.8328210566151775,1.9757273095965628e-20,1.456951762198027e-17,75,0.8328210566151775
A_time [minutes],Flavobacteriales.4,0.8328210566151775,1.9757273095965628e-20,1.456951762198027e-17,75,0.8328210566151775
A_time [minutes],Comamonadaceae.8,0.8328210566151775,1.9757273095965628e-20,1.456951762198027e-17,75,0.8328210566151775
Ax_time [minutes],Chryseobacterium.6,-0.8319233014735837,2.362152838339872e-20,1.605291278902385e-17,75,0.8319233014735837
Ax_time [minutes],Leadbetterella.14,-0.8319233014735837,2.362152838339872e-20,1.605291278902385e-17,75,0.8319233014735837
A_time [minutes],Chryseobacterium.6,0.8319233014735837,2.362152838339872e-20,1.605291278902385e-17,75,0.8319233014735837
