parameter,ASV,rho_interp,p_interp,n_interp,rho_meas,p_meas,n_meas,q_interp,q_meas,confirmed,rho_partial,p_partial,n_partial,q_partial,time_robust
Ax_time [minutes],Cloacibacterium.14,-0.8837156767416605,8.921792881770397e-26,75,-0.8837156767416605,8.921792881770397e-26,75,1.678412285883056e-21,1.3992047776480514e-21,True,-0.652931173004883,2.177277801533398e-10,75,2.1446186345103968e-07,True
Ax_time [minutes],Sediminibacterium.5,-0.8713775870140285,2.823043466762307e-24,75,-0.8713775870140285,2.823043466762307e-24,75,1.5173858633847402e-20,6.811352413728195e-21,True,-0.6142712743664809,4.589593964461966e-09,75,1.0046111233322301e-06,True
Ax_time [minutes],Flavobacterium.12,-0.8682930645821203,6.33450566766539e-24,75,-0.8682930645821203,6.33450566766539e-24,75,2.64817528606567e-20,1.3245873651466174e-20,True,-0.6044622814785663,9.327413136992669e-09,75,1.8375003879875557e-06,True
Ax_time [minutes],midas_g_428.6,-0.8630800451908256,2.3728229127253312e-23,75,-0.8630800451908256,2.3728229127253312e-23,75,8.116132917390055e-20,4.377997851796632e-20,True,-0.5921925305716532,2.1909737016191866e-08,75,3.320167840145998e-06,True
Ax_time [minutes],Cloacibacterium.7,-0.8615658696729468,3.4470886842074257e-23,75,-0.8615658696729468,3.4470886842074257e-23,75,9.976670134100336e-20,5.690599140465795e-20,True,-0.5752403146232281,6.734490829884983e-08,75,6.5547722371341254e-06,True
Ax_time [minutes],SM1A02.28,-0.8528704524225801,2.711156761956377e-22,75,-0.8528704524225801,2.711156761956377e-22,75,6.800484877907246e-19,4.049435380739225e-19,True,-0.55665232382923,2.1492954764056663e-07,75,1.6689747330506214e-05,True
Ax_time [minutes],Cloacibacterium.1,-0.851328191206626,3.8548818823229143e-22,75,-0.851328191206626,3.8548818823229143e-22,75,8.531760636611744e-19,5.257053266127849e-19,True,-0.5501098256406483,3.1804567577660046e-07,75,2.237678504571082e-05,True
Ax_time [minutes],Flavobacterium.9,-0.8497859299906719,5.45948753307968e-22,75,-0.8497859299906719,5.45948753307968e-22,75,9.781581830101094e-19,6.342306887502861e-19,True,-0.5562465874916156,2.2027077695084343e-07,75,1.6689747330506214e-05,True
Ax_time [minutes],Azonexus.1,-0.8498888365877045,5.334820347739137e-22,75,-0.8498888365877045,5.334820347739137e-22,75,9.781581830101094e-19,6.342306887502861e-19,True,-0.5964630373052215,1.6342384716864214e-08,75,2.9022267931623093e-06,True
Ax_time [minutes],Arenimonas.4,-0.844856286223864,1.6186253164145661e-21,75,-0.844856286223864,1.6186253164145661e-21,75,2.4360311012039226e-18,1.6377355378922348e-18,True,-0.5563638003207868,2.187149954333394e-07,75,1.6689747330506214e-05,True
