organism,functional_category,CAP1,CAP2,louvain_module,kmeans_module,in_prev_top10
Cloacibacterium,,-0.5975,0.0906,1,1,True
Gemmobacter,,-0.5951,0.0383,1,1,True
Pseudoxanthomonas,,-0.4627,-0.0142,1,1,True
Sediminibacterium,,-0.5594,0.1209,1,1,True
Thauera,Putative GAOs,-0.6299,0.1034,1,1,True
Zoogloea,Putative PAOs,-0.5507,0.0926,1,1,True
Aeromonas,,0.0617,-0.001,2,2,True
Azospira,,-0.243,-0.136,2,2,True
Ca_Competibacter,GAOs,-0.2682,-0.1697,2,2,True
Denitratisoma,,-0.0835,-0.2312,2,2,True
Dokdonella,,-0.0924,-0.093,2,2,True
Hydrogenophaga,,-0.0911,-0.0277,2,2,True
Ca_Accumulibacter,PAOs,0.5141,-0.0215,3,3,True
Ca_Caldilinea,,0.4376,-0.0314,3,3,True
Ca_Leptovillus,,0.5317,-0.0859,3,3,True
Ca_Sarcinithrix,,0.5023,0.1019,3,3,True
Holophagae,,0.2038,0.1069,3,3,True
Ignavibacteria,,0.3995,-0.1929,3,3,True
Lysobacter,,0.2973,-0.173,3,3,True
Rhizobiales,,0.4025,0.1527,3,3,True
Rhodoplanes,,0.5172,0.1074,3,3,True
Rhodothermaceae,,0.4276,0.0841,3,3,True
alphaI_cluster,,0.4523,0.1596,3,3,True
