ko_group	mag	CAN_1	CAN_2	CAN_3	CAN_4	CAN_5
nirB/D	CAN_1_bin.174	0.0000	0.0000	0.0000	0.0000	0.0000
nirB/D	CAN_1_bin.210	0.0000	0.0000	0.0000	0.0000	0.0000
nirB/D	CAN_1_bin.77	0.0000	0.0000	0.0000	0.0000	0.0000
nirB/D	CAN_1_bin.98	31.4078	25.9227	27.2551	82.1740	22.8540
nirB/D	CAN_2_bin.125	0.0000	0.0000	0.0000	0.0000	0.0000
nirB/D	CAN_2_bin.159	0.0000	0.0000	0.0000	0.0000	0.0000
nirB/D	CAN_2_bin.6	30.6885	41.5229	39.6864	7.2313	1.6328
nirB/D	CAN_3_bin.203	12.0993	15.4365	14.2599	11.6700	50.4433
nirB/D	CAN_3_bin.221	102.0431	61.5905	65.9028	100.6804	27.2515
nirB/D	CAN_4_bin.116	2.5368	1.0584	2.4035	22.2262	7.1643
nirB/D	CAN_5_bin.106	187.4722	189.1325	187.1970	69.3403	33.3556
nirB/D	CAN_5_bin.112	0.0000	0.0000	0.0000	0.0000	0.0000
nirB/D	CAN_5_bin.147	0.0000	0.0000	0.0000	0.0000	0.0000
nirB/D	CAN_5_bin.177	0.0000	0.0000	0.0000	0.0000	0.0000
nirB/D	CAN_5_bin.40	8.8550	14.8890	15.7773	2.5132	0.8280
nirB/D	CAN_5_bin.70	30.4763	62.3027	58.7925	34.3014	8.4555
nirB/D	CAN_5_bin.90	0.0000	0.0000	0.0000	0.0000	0.0000
nirB/D	coasm_bin.185	34.9389	20.8686	20.9311	66.8497	137.0237
nirB/D	coasm_bin.260	0.0000	0.0000	0.0000	0.0000	0.0000
nirB/D	coasm_bin.481	0.0000	0.0000	0.0000	0.0000	0.0000
nirB/D	coasm_bin.55	0.0619	0.1628	0.1677	3.2829	16.6945
nirS	CAN_1_bin.174	0.0000	0.0000	0.0000	0.0000	0.0000
nirS	CAN_1_bin.210	0.0000	0.0000	0.0000	0.0000	0.0000
nirS	CAN_1_bin.77	0.0000	0.0000	0.0000	0.0000	0.0000
nirS	CAN_1_bin.98	46.8963	40.2314	38.4658	106.0789	27.3500
nirS	CAN_2_bin.125	0.0000	0.0000	0.0000	0.0000	0.0000
nirS	CAN_2_bin.159	15.0607	12.5770	13.5407	17.1847	4.7185
nirS	CAN_2_bin.6	56.6472	94.7880	94.1388	9.5275	2.9558
nirS	CAN_3_bin.203	14.5590	16.3869	19.1089	17.3329	68.3500
nirS	CAN_3_bin.221	0.0000	0.0000	0.0000	0.0000	0.0000
nirS	CAN_4_bin.116	0.0000	0.0000	0.0000	0.0000	0.0000
nirS	CAN_5_bin.106	0.0000	0.0000	0.0000	0.0000	0.0000
nirS	CAN_5_bin.112	0.0000	0.0000	0.0000	0.0000	0.0000
nirS	CAN_5_bin.147	0.0000	0.0000	0.0000	0.0000	0.0000
nirS	CAN_5_bin.177	19.5218	18.2675	17.3098	14.7234	7.8659
nirS	CAN_5_bin.40	8.6544	18.1754	18.3223	1.5670	0.6121
nirS	CAN_5_bin.70	36.2640	80.6773	77.8578	38.2237	8.5242
nirS	CAN_5_bin.90	0.0000	0.0000	0.0000	0.0000	0.0000
nirS	coasm_bin.185	44.2952	21.1010	24.7763	74.9937	148.0277
nirS	coasm_bin.260	0.0000	0.0000	0.0000	0.0000	0.0000
nirS	coasm_bin.481	0.0000	0.0000	0.0000	0.0000	0.0000
nirS	coasm_bin.55	3.1145	1.5938	1.8758	28.5350	25.9993
nirK	CAN_1_bin.174	0.0000	0.0000	0.0000	0.0000	0.0000
nirK	CAN_1_bin.210	23.0979	24.8921	26.5336	16.9186	2.4665
nirK	CAN_1_bin.77	0.0000	0.0000	0.0000	0.0000	0.0000
