mag	orig_contig	prefixed_contig
CAN_1_bin.210	contig_754_pilon	CAN_1_bin_210::contig_754_pilon
CAN_1_bin.77	contig_25145_pilon	CAN_1_bin_77::contig_25145_pilon
CAN_1_bin.98	contig_1207_pilon	CAN_1_bin_98::contig_1207_pilon
CAN_1_bin.98	contig_1410_pilon	CAN_1_bin_98::contig_1410_pilon
CAN_2_bin.125	contig_18767_pilon	CAN_2_bin_125::contig_18767_pilon
CAN_2_bin.159	contig_10545_pilon	CAN_2_bin_159::contig_10545_pilon
CAN_2_bin.6	contig_4248_pilon	CAN_2_bin_6::contig_4248_pilon
CAN_3_bin.203	contig_30517_pilon	CAN_3_bin_203::contig_30517_pilon
CAN_3_bin.203	contig_7512_pilon	CAN_3_bin_203::contig_7512_pilon
CAN_3_bin.203	contig_9691_pilon	CAN_3_bin_203::contig_9691_pilon
CAN_3_bin.221	contig_3232_pilon	CAN_3_bin_221::contig_3232_pilon
CAN_4_bin.116	contig_1179_pilon	CAN_4_bin_116::contig_1179_pilon
CAN_5_bin.106	contig_3735_pilon	CAN_5_bin_106::contig_3735_pilon
CAN_5_bin.106	contig_3892_pilon	CAN_5_bin_106::contig_3892_pilon
CAN_5_bin.112	contig_1439_pilon	CAN_5_bin_112::contig_1439_pilon
CAN_5_bin.147	contig_1541_pilon	CAN_5_bin_147::contig_1541_pilon
CAN_5_bin.177	contig_4770_pilon	CAN_5_bin_177::contig_4770_pilon
CAN_5_bin.40	contig_15328_pilon	CAN_5_bin_40::contig_15328_pilon
CAN_5_bin.40	contig_19531_pilon	CAN_5_bin_40::contig_19531_pilon
CAN_5_bin.40	contig_5872_pilon	CAN_5_bin_40::contig_5872_pilon
CAN_5_bin.70	contig_3740_pilon	CAN_5_bin_70::contig_3740_pilon
CAN_5_bin.70	contig_4019_pilon	CAN_5_bin_70::contig_4019_pilon
CAN_5_bin.70	contig_6465_pilon	CAN_5_bin_70::contig_6465_pilon
coasm_bin.185	contig_2971_pilon	coasm_bin_185::contig_2971_pilon
coasm_bin.185	contig_3206_pilon	coasm_bin_185::contig_3206_pilon
coasm_bin.185	contig_5770_pilon	coasm_bin_185::contig_5770_pilon
coasm_bin.260	contig_9348_pilon	coasm_bin_260::contig_9348_pilon
coasm_bin.481	contig_7991_pilon	coasm_bin_481::contig_7991_pilon
coasm_bin.55	contig_60669_pilon	coasm_bin_55::contig_60669_pilon
coasm_bin.55	contig_9218_pilon	coasm_bin_55::contig_9218_pilon
