organism,functional_category,CAP1,CAP2,louvain_module,kmeans_module,in_prev_top10
Aeromonas,,0.0272,-0.0461,1,2,True
Azospira,,-0.1846,-0.18,1,1,True
Ca_Competibacter,GAOs,-0.2349,-0.1571,1,1,True
Denitratisoma,,-0.054,-0.2607,1,1,True
Dokdonella,,-0.1135,-0.0357,1,1,True
Hydrogenophaga,,-0.074,-0.0449,1,1,True
Pseudoxanthomonas,,-0.4127,0.0107,1,1,True
Sediminibacterium,,-0.4963,0.1317,1,1,True
Thauera,Putative GAOs,-0.5588,0.1086,1,1,True
Zoogloea,Putative PAOs,-0.4667,0.0971,1,1,True
midas_g_428,,-0.5204,0.1303,1,1,True
Lysobacter,,0.2491,-0.139,2,2,True
midas_g_171,,0.2357,-0.2077,2,2,True
midas_g_36422,,0.233,-0.1092,2,2,True
midas_g_41804,,0.0881,-0.0628,2,2,True
midas_g_61007,,0.1859,-0.1082,2,2,True
midas_g_8672,,0.2526,-0.0282,2,2,True
midas_g_973,,0.1496,0.0636,2,2,True
Ca_Accumulibacter,PAOs,0.4776,-0.0323,3,2,True
Ca_Caldilinea,,0.357,0.0125,3,2,True
Ca_Sarcinithrix,,0.431,0.1269,3,2,True
Rhodoplanes,,0.4421,0.1292,3,2,True
alphaI_cluster,,0.4183,0.154,3,2,True
midas_g_12887,,0.3559,0.0104,3,2,True
midas_g_2019,,0.3634,0.0417,3,2,True
midas_g_26667,,0.3087,0.08,3,2,True
midas_g_31688,,0.3828,0.129,3,2,True
midas_g_3943,,0.284,0.1003,3,2,True
midas_g_71310,,0.4047,0.0424,3,2,True
