root_iterativeID	n_MAGs	genus	K00023	K00362	K00363	K00368	K00370	K00371	K00374	K00376	K00626	K00634	K00688	K00700	K00702	K00703	K00925	K00937	K01214	K01514	K01659	K01720	K01847	K01848	K01895	K01908	K02035	K02036	K02037	K02038	K02039	K02040	K02305	K02567	K02568	K03385	K03821	K04561	K05973	K07636	K07657	K15864	K15876	K22468
Ca_Competibacter	6	Competibacter	217.9738	482.1231	266.5095	0.0000	510.6478	950.3392	277.7073	21.3605	1000.6850	188.7085	526.9304	902.8501	222.6496	150.8323	468.2843	583.3358	442.9989	0.0000	0.0000	25.1826	1493.9430	128.4177	1098.4828	47.0135	3.7609	280.6659	204.3665	198.0780	527.2155	349.0676	456.2365	0.0000	0.0000	0.0000	1075.2724	252.1230	0.0000	215.2411	365.0533	218.0094	0.0000	0.0000
Ca_Accumulibacter	3	Accumulibacter	84.0961	103.8737	176.5467	0.0000	0.0000	0.0000	0.0000	52.9811	343.5852	62.6156	413.7582	171.5522	0.0000	98.5752	60.3847	136.0138	215.9165	0.0000	64.1101	59.5294	59.7064	68.7936	119.2640	63.2024	0.0000	81.7629	71.4796	76.4318	113.3161	205.5868	0.0000	54.4270	111.5228	0.0000	366.1089	57.3224	163.5441	79.4969	157.8306	115.9423	0.0000	270.1722
Thauera	1	Thauera	205.4958	28.9973	117.9382	0.0000	0.0000	0.0000	0.0000	35.1639	134.3463	0.0000	73.8090	34.0149	0.0000	50.8267	112.1227	58.4241	63.9908	0.0000	0.0000	0.0000	32.8627	0.0000	74.1666	44.7601	47.7585	68.0332	54.7443	58.9813	67.5278	50.2251	104.8357	32.1899	99.9299	0.0000	101.8769	45.3797	51.4634	44.8392	71.9477	73.1129	0.0000	50.0280
Leptovillus_m	2	Leptovillus	0.0000	0.0000	44.5417	147.4545	0.0000	0.0000	0.0000	91.4482	135.6442	0.0000	22.8374	38.4339	123.1646	37.9769	17.8340	52.0478	29.0255	0.0000	0.0000	0.0000	0.3383	18.3249	13.9522	24.3134	345.6361	118.1138	59.3450	41.0641	132.6548	128.2674	20.8942	0.0000	0.0000	17.7355	15.6672	0.0000	0.0000	35.8453	65.8843	0.5150	21.7587	31.7696
JAEULV01_m	1	JAEULV01	39.3745	75.9925	15.4959	0.0000	0.0000	0.0000	0.0000	17.5409	137.4072	48.4871	16.1440	16.5219	0.0000	20.5025	35.0261	19.9863	0.0000	0.0000	0.0000	0.0000	32.9168	0.0000	132.9966	19.0837	171.7785	23.9737	23.1031	28.9624	20.0961	33.2683	22.8208	16.4615	55.0980	0.0000	49.0752	33.3068	64.8233	73.0926	34.6030	30.9841	0.0000	60.0021
OLB5_m	3	OLB5	0.0000	0.0000	0.8892	0.0000	0.0000	0.0000	0.0000	41.7322	44.4994	0.0000	19.6578	20.6448	0.0000	19.2628	0.0000	20.3904	0.0000	0.0000	0.0000	0.0000	27.2626	41.7854	44.8611	0.0000	260.8666	27.6836	112.3263	19.5246	41.3447	73.5824	0.0000	0.0000	0.0000	357.7287	0.0000	0.0000	0.0000	39.9887	41.6238	0.0000	63.5716	32.1271
Niveibacterium	1	Niveibacterium	0.6449	1.0472	0.7070	0.0000	0.0000	0.0000	0.0000	0.2238	34.0421	127.7328	0.8045	0.7284	0.7590	0.1475	148.7714	94.1598	0.9212	0.0000	0.0000	0.0000	0.1618	0.0000	0.3752	0.1948	0.4660	180.9708	149.3026	157.4848	0.3845	303.6236	0.2509	0.9038	0.0000	0.0000	0.8581	0.4921	0.0000	0.2304	0.4277	0.5935	0.0000	0.6254
Azonexus	3	Azonexus	17.4739	9.2820	31.1355	0.0000	1.5615	2.4366	3.8988	13.5580	71.3887	0.0000	7.8743	8.4294	0.0000	10.1124	23.0566	21.2302	8.3745	0.0000	0.0000	0.0000	10.2174	0.0000	29.9080	9.3277	0.0889	0.5291	0.4641	0.4656	0.6637	23.6097	1.1851	14.7181	27.5370	0.0000	103.5600	1.4512	0.0000	0.5857	0.5161	17.2988	0.0000	30.9467
Propionivibrio	1	Accumulibacter	5.4266	7.6381	5.8773	0.0000	0.0000	0.0000	0.0000	11.8691	55.8360	6.0196	6.2826	5.2565	0.0000	13.9838	12.8840	17.7723	22.1307	0.0000	21.5408	8.6493	14.9721	16.5602	24.0111	5.0203	0.0000	9.3183	5.0173	4.7337	35.3892	4.2065	0.0000	11.3902	10.5795	0.0000	51.3196	14.6375	6.2953	7.7626	8.1919	24.1519	0.0000	37.2670
Terrimonas	2	JJ008	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	33.6029	26.0990	0.0000	38.9323	37.0462	0.0000	101.2435	9.2939	12.4315	0.0000	0.0000	0.0000	0.0000	0.0000	29.8274	19.6560	25.3674	0.0000	0.0000	0.0000	0.0000	0.0000	36.6968	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	107.9748	0.0000	0.0000	0.0000	10.6166
Lysobacter	1	SCMT01	21.8654	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	35.6004	0.0000	9.9017	8.4898	0.0000	0.0000	0.0000	16.4260	35.7731	0.0000	20.6686	0.0000	0.0000	0.0000	62.0623	22.3761	9.0546	8.7883	5.8877	12.1201	36.7662	19.1663	0.0000	0.0000	0.0000	0.0000	13.5592	11.8127	11.4624	15.1201	13.4468	24.2503	0.0000	11.9459
Giesbergeria_m	2	Giesbergeria	8.3926	19.1822	4.2836	0.0000	2.9043	5.6585	9.4846	3.7456	57.1007	11.4369	0.0000	0.0000	0.0000	0.0000	5.9044	15.1842	0.0000	0.0000	6.1820	0.0000	0.2904	0.0000	7.9077	5.1899	67.4972	9.4299	9.7112	9.9041	6.0172	24.0598	5.3179	0.2494	0.4827	0.0000	8.3980	12.4198	11.8375	24.9448	5.9150	14.3872	0.0000	0.5195
Denitratisoma	1	Desulfobacillus	14.5076	11.5963	4.3980	0.0000	0.0000	0.0000	0.0000	8.8430	55.7977	0.0000	7.6313	5.6697	0.0000	6.4361	13.2744	5.0899	9.3822	0.0000	0.0000	0.0000	22.1251	12.3358	45.8765	6.9621	0.0000	7.9814	9.8459	7.5216	7.9223	5.4497	0.0000	9.9628	7.1407	0.0000	24.4768	0.0000	0.0000	9.4006	8.7491	25.2039	0.0000	0.0000
Accumulibacter_m	3	Accumulibacter	5.3599	1.2076	2.4678	0.0000	0.0000	0.0000	0.0000	9.0972	10.2044	2.4952	5.8016	11.6855	0.0000	3.2607	8.7395	13.2908	7.9635	0.0000	2.7337	2.3483	2.9996	0.0000	10.7668	2.2727	0.0000	15.4562	10.4693	8.3338	9.3680	15.7991	0.0000	2.5592	1.7637	0.0000	11.2839	0.0000	8.5732	2.5148	8.8397	138.7777	0.0000	8.3535
JAAEKA01_m	2	JAAEKA01	0.0000	0.0000	0.0000	18.0947	0.7090	0.0000	0.4827	12.5781	28.4786	0.0000	9.4036	6.2331	12.9024	0.0000	0.0000	39.2434	6.5967	0.0000	0.0000	0.0000	0.5757	27.7858	11.7651	0.0000	27.6201	13.2692	16.8384	11.1720	13.9906	17.9937	9.5257	0.0000	0.0000	3.4387	0.0000	0.0000	0.0000	17.2672	6.3636	0.0000	7.7649	3.2029
Zoogloea	3	Zoogloea	14.8428	15.5067	9.6629	0.0000	0.0000	0.0000	0.0000	11.7430	39.9522	0.0000	0.5595	0.0000	0.0000	0.5341	14.6112	5.8674	0.0000	0.0000	2.4637	3.5614	4.5856	0.0000	8.1630	3.8161	2.1034	4.7866	8.6656	9.2505	9.4985	8.6401	19.4579	7.0215	10.7693	0.0000	56.2650	5.4949	8.5472	4.6491	7.3586	4.1824	0.0000	5.2004
Bosea	2	JAIUNP01	7.0500	2.2933	9.1178	1.7628	0.0000	0.0000	0.0000	2.1042	13.0376	0.0000	7.6729	3.9284	0.0000	3.0265	2.3466	3.6655	0.0000	0.0000	0.0000	1.6958	7.5752	0.0000	12.2824	2.7757	94.4103	5.5200	3.7927	5.1214	7.5710	17.3670	4.8308	2.4083	6.7965	0.0000	10.2867	4.8132	3.7210	8.0445	9.7739	1.9760	0.0000	4.6597
Fen-1058_m	1	Fen-1058	0.0000	0.0000	0.0000	14.5120	0.0000	0.0000	0.0000	10.8773	20.7031	0.0000	9.4325	0.0000	5.8510	7.1588	0.0000	4.4676	4.8271	0.0000	0.0000	0.0000	0.0000	3.8170	9.2383	0.0000	21.8031	19.6316	11.4502	15.3675	11.2670	13.7837	2.5544	0.0000	0.0000	5.5734	0.0000	0.0000	0.0000	12.5513	14.7537	0.0000	9.9438	5.7553
Competibacter_A_m	1	Competibacter_A	0.2876	0.0000	0.0000	0.0000	1.0057	12.6743	34.6939	0.0000	0.1068	0.2342	0.0000	0.9122	0.0000	0.0000	12.2975	2.8750	99.8504	0.0000	0.0000	0.0000	1.4684	0.0000	0.1352	0.8436	0.0000	3.2734	1.2133	0.6054	0.1984	9.2654	0.3059	0.0000	0.0000	0.0000	0.6391	0.6987	0.0000	0.1366	0.2812	0.0762	0.0000	33.4915
Azospira	2	Azospira_A	15.7762	3.2295	12.3879	0.0000	0.0000	0.0000	0.0000	3.3178	20.6326	3.1113	0.0000	0.0000	0.0000	0.0000	3.6310	2.9301	0.0000	0.0000	0.0000	0.0000	3.6313	0.0000	9.5953	4.0656	0.0000	5.7633	5.2925	5.3823	6.3766	9.5973	8.9783	4.7824	6.9277	0.0000	24.6101	3.7152	0.3863	4.3957	6.3173	7.7800	0.0000	8.9164
