MAG,old_mag_iterativeID,old_intersection_id,new_mag_iterativeID,assignment_case
CAN_1_bin.148,Dokdonella.13,Dokdonella.5_ma,Dokdonella.5,asv_inherit
CAN_1_bin.174,UBA5532_m.1,UBA5532.1_m,Gracilibacteria.30,asv_inherit
CAN_1_bin.177,midas_g_155.3,midas_g_155.3_ma,Pararhodobacter.1_m,gtdb_genus
CAN_1_bin.180,Bdellovibrio.13,Bdellovibrio.13_ma,Bdellovibrio.13,asv_inherit
CAN_1_bin.195,UBA919_m.1,UBA919.1_m,Ca_Falkowbacteria.7,asv_inherit
CAN_1_bin.2,B-1AR_m.1,B-1AR.1_m,Ignavibacteria.5,asv_inherit
CAN_1_bin.210,Dokdonella.14,Dokdonella.14_ma,Dokdonella.14,asv_inherit
CAN_1_bin.48,GWB1-50-10_m.1,GWB1-50-10.1_m,Paceibacteria.1_m,gtdb_lowest
CAN_1_bin.5,UBA1573_m.1,UBA1573.1_m,Micavibrionaceae.1_m,gtdb_lowest
CAN_1_bin.77,UBA5066_m.1,UBA5066.1_m,Thermoanaerobaculia.1_m,gtdb_lowest
CAN_1_bin.84,CFX2_m.1,CFX2.1_m,Phototrophicaceae.1_m,gtdb_lowest
CAN_1_bin.98,Ca_Accumulibacter.23,Ca_Accumulibacter.23_ma,Accumulibacter.1_m,gtdb_genus
CAN_2_bin.125,Pseudoxanthomonas_A_m.1,Pseudoxanthomonas_A.1_m,Pseudoxanthomonas_A.1_m,gtdb_genus
CAN_2_bin.151,Brevundimonas.4,Brevundimonas.4_ma,Brevundimonas.4,asv_inherit
CAN_2_bin.159,Pseudoxanthomonas.23,Pseudoxanthomonas.23_ma,Pseudoxanthomonas.23,asv_inherit
CAN_2_bin.173,JACDQM01_m.1,JACDQM01.1_m,Burkholderiaceae.1_m,gtdb_lowest
CAN_2_bin.176,UBA5066_m.2,UBA5066.2_m,Thermoanaerobaculia.2_m,gtdb_lowest
CAN_2_bin.23,Zoogloea.11,Zoogloea.11_ma,Zoogloea.11,asv_inherit
CAN_2_bin.6,Denitratisoma.2,Denitratisoma.2_ma,Desulfobacillus.1_m,gtdb_genus
CAN_2_bin.66,JACTMZ01_m.1,JACTMZ01.1_m,Chthoniobacterales.1_m,gtdb_lowest
CAN_3_bin.10,Rhodobacter.13,Rhodobacter.13_ma,Rhodobacter.13,asv_inherit
CAN_3_bin.124,Thermomonas.1,Thermomonas.1_ma,Thermomonas.1,asv_inherit
CAN_3_bin.13,Pseudoxanthomonas_A_m.2,Pseudoxanthomonas_A.2_m,Pseudoxanthomonas_A.2_m,gtdb_genus
CAN_3_bin.203,JAEULV01_m.1,JAEULV01.1_m,Ancalomicrobiaceae.1_m,gtdb_lowest
CAN_3_bin.205,Niabella.2,Niabella.2_ma,Niabella.2,asv_inherit
CAN_3_bin.208,Sulfuritalea.5,Sulfuritalea.5_ma,Azospira_A.1_m,gtdb_genus
CAN_3_bin.216,Zoogloea.3,Zoogloea.3_ma,Zoogloea.3,asv_inherit
CAN_3_bin.221,OLB5_m.1,OLB5.1_m,Ignavibacteria.31,asv_inherit
CAN_3_bin.227,Kapaibacterium_m.1,Kapaibacterium.1_m,Kapaibacterium.1_m,gtdb_genus
CAN_3_bin.43,Luteimonas.2,Luteimonas.2_ma,Luteimonas_D.1_m,gtdb_genus
CAN_4_bin.103,UBA2796_m.1,UBA2796.1_m,Aggregatilineales.1_m,gtdb_lowest
CAN_4_bin.107,Ca_Caldilinea.1,Ca_Caldilinea.1_ma,Caldilinea.1_m,gtdb_genus
CAN_4_bin.11,Villigracilis_m.1,Villigracilis.1_m,Villigracilis.1_m,gtdb_genus
CAN_4_bin.112,2-12-FULL-35-15_m.1,2-12-FULL-35-15.1_m,Bacteroidia.1_m,gtdb_lowest
CAN_4_bin.116,Ca_Competibacter.49,Ca_Competibacter.49_ma,Competibacter.1_m,gtdb_genus
CAN_4_bin.142,Vicingus_m.1,Vicingus.1_m,Vicingus.1,asv_inherit
CAN_4_bin.152,Brevundimonas_m.1,Brevundimonas.1_m,Brevundimonas.1_m,gtdb_genus
CAN_4_bin.154,Aquimonas_m.1,Aquimonas.1_m,Aquimonas.4,asv_inherit
CAN_4_bin.166,Ignavibacterium.4,Ignavibacterium.4_ma,Ignavibacterium.4,asv_inherit
CAN_4_bin.195,Azonexus_m.1,Azonexus.1_m,Azonexus.1_m,gtdb_genus
CAN_4_bin.197,CAIKZJ01_m.1,CAIKZJ01.1_m,Ignavibacteria.13,asv_inherit
CAN_4_bin.208,Azospira.3,Azospira.3_ma,Azospira_A.2_m,gtdb_genus
CAN_4_bin.220,Bosea.1,Bosea.1_ma,Bosea.1,asv_inherit
CAN_4_bin.225,Accumulibacter_m.1,Accumulibacter.1_m,Accumulibacter.2_m,gtdb_genus
CAN_4_bin.236,Thauera.34,Thauera.34_ma,Thauera.34,asv_inherit
CAN_4_bin.238,Phaeodactylibacter.3,Phaeodactylibacter.3_ma,Phaeodactylibacter.3,asv_inherit
CAN_4_bin.25,Ca_Competibacter.26,Ca_Competibacter.26_ma,Competibacter_A.1_m,gtdb_genus
CAN_4_bin.35,Brevundimonas.7,Brevundimonas.7_ma,Brevundimonas.7,asv_inherit
CAN_4_bin.38,Salinispiraceae_m.1,Salinispiraceae.1_m,Salinispiraceae.1_m,gtdb_lowest
CAN_4_bin.44,Mesorhizobium.22,Mesorhizobium.22_ma,Mesorhizobium.22,asv_inherit
CAN_4_bin.62,JARKPB01_m.1,JARKPB01.1_m,Anaerolineaceae.1_m,gtdb_lowest
CAN_4_bin.64,Accumulibacter_m.2,Accumulibacter.2_m,Accumulibacter.3_m,gtdb_genus
CAN_4_bin.70,JAIOHN01_m.1,JAIOHN01.1_m,Phototrophicaceae.2_m,gtdb_lowest
CAN_4_bin.72,Competibacter_A_m.1,Competibacter_A.1_m,Competibacter_A.2_m,gtdb_genus
CAN_4_bin.76,Brojett037_m.1,Brojett037.1_m,Dojkabacteria.1_m,gtdb_lowest
CAN_4_bin.92,Flexifilum_m.1,Flexifilum.1_m,Flexifilum.1_m,gtdb_genus
CAN_5_bin.1,Rhabdaerophilum_m.1,Rhabdaerophilum.1_m,Rhabdaerophilum.1_m,gtdb_genus
CAN_5_bin.100,JAEXTR01_m.1,JAEXTR01.1_m,Ignavibacteriaceae.1_m,gtdb_lowest
CAN_5_bin.106,Ca_Competibacter.139,Ca_Competibacter.139_ma,Competibacter.2_m,gtdb_genus
CAN_5_bin.112,Terrimonas.22,Terrimonas.22_ma,Terrimonas.22,asv_inherit
CAN_5_bin.145,JAAFHL01_m.1,JAAFHL01.1_m,Bacteroidia.19,asv_inherit
CAN_5_bin.146,Altimarinus_m.1,Altimarinus.1_m,Altimarinus.1_m,gtdb_genus
CAN_5_bin.147,Terrimonas.3,Terrimonas.3_ma,Terrimonas.3,asv_inherit
CAN_5_bin.149,Edaphobaculum.8,Edaphobaculum.8_ma,Flavipsychrobacter.1_m,gtdb_genus
CAN_5_bin.150,JAHFLJ01_m.1,JAHFLJ01.1_m,Paceibacteria.2_m,gtdb_lowest
CAN_5_bin.167,OLB5_m.2,OLB5.2_m,Ignavibacteria.21,asv_inherit
CAN_5_bin.169,GWE2-31-10_m.1,GWE2-31-10.1_m,Spirochaetota.1_m,gtdb_lowest
CAN_5_bin.173,JAKRSD01_m.1,JAKRSD01.1_m,Bacteroidia.11,asv_inherit
CAN_5_bin.177,Lysobacter.2,Lysobacter.2_ma,Lysobacter.2,asv_inherit
CAN_5_bin.180,midas_g_6489.3,midas_g_6489.3_ma,Anaerolineaceae.24,asv_inherit
CAN_5_bin.2,UBA2400_m.1,UBA2400.1_m,Rhodospirillales.3,asv_inherit
CAN_5_bin.40,Giesbergeria_m.1,Giesbergeria.1_m,Giesbergeria.1_m,gtdb_genus
CAN_5_bin.52,Beijerinckiaceae_m.1,Beijerinckiaceae.1_m,Beijerinckiaceae.1_m,gtdb_lowest
CAN_5_bin.62,Ca_Caldilinea.2,Ca_Caldilinea.2_ma,Caldilinea.2_m,gtdb_genus
CAN_5_bin.70,Azonexus.12,Azonexus.12_ma,Azonexus.12,asv_inherit
CAN_5_bin.9,UBA5195_m.1,UBA5195.1_m,Villigracilaceae.1_m,gtdb_lowest
CAN_5_bin.90,UBA5532_m.2,UBA5532.2_m,Gracilibacteria.25,asv_inherit
CAN_5_bin.97,Azospira.1,Azospira.1_ma,Azospira.1,asv_inherit
coasm_bin.10,Leptovillus_m.1,Leptovillus.1_m,Leptovillus.1_m,gtdb_genus
coasm_bin.103,JALHNB01_m.1,JALHNB01.1_m,Phototrophicaceae.3_m,gtdb_lowest
coasm_bin.105,Rhodobacter.5,Rhodobacter.5_ma,Rhodobacter.5,asv_inherit
coasm_bin.108,Rhodobacter.1,Rhodobacter.1_ma,Tabrizicola.1_m,gtdb_genus
coasm_bin.110,Leptonema_m.1,Leptonema.1_m,Leptonema.1,asv_inherit
coasm_bin.112,UBA927_m.1,UBA927.1_m,Microgenomatia.1_m,gtdb_lowest
coasm_bin.114,UBA2475_m.1,UBA2475.1_m,Sphingobacteriales.16,asv_inherit
coasm_bin.115,GCA-2794515_m.1,GCA-2794515.1_m,Phototrophicaceae.4_m,gtdb_lowest
coasm_bin.117,JAFLBI01_m.1,JAFLBI01.1_m,Chitinophagaceae.1_m,gtdb_lowest
coasm_bin.118,GCA-013693735_m.1,GCA-013693735.1_m,Beijerinckiaceae.2_m,gtdb_lowest
coasm_bin.121,UBA2475_m.2,UBA2475.2_m,Sphingobacteriales.13,asv_inherit
