genome,location,length
CAN_1_bin.101.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.101.fa,4838876
CAN_1_bin.102.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.102.fa,2954507
CAN_1_bin.103.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.103.fa,4871083
CAN_1_bin.104.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.104.fa,3694858
CAN_1_bin.108.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.108.fa,3242699
CAN_1_bin.109.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.109.fa,3407164
CAN_1_bin.10.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.10.fa,3187270
CAN_1_bin.110.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.110.fa,6597527
CAN_1_bin.115.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.115.fa,2818259
CAN_1_bin.119.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.119.fa,2575650
CAN_1_bin.11.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.11.fa,3486756
CAN_1_bin.122.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.122.fa,3072314
CAN_1_bin.123.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.123.fa,1382025
CAN_1_bin.124.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.124.fa,2372670
CAN_1_bin.127.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.127.fa,5552855
CAN_1_bin.12.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.12.fa,2392206
CAN_1_bin.130.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.130.fa,4286622
CAN_1_bin.131.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.131.fa,2741699
CAN_1_bin.133.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.133.fa,4515397
CAN_1_bin.135.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.135.fa,2874128
CAN_1_bin.148.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.148.fa,4210296
CAN_1_bin.152.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.152.fa,2579153
CAN_1_bin.154.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.154.fa,3982122
CAN_1_bin.157.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.157.fa,4050422
CAN_1_bin.158.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.158.fa,2958455
CAN_1_bin.160.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.160.fa,3542734
CAN_1_bin.161.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.161.fa,2866024
CAN_1_bin.163.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.163.fa,4151611
CAN_1_bin.165.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.165.fa,4753073
CAN_1_bin.167.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.167.fa,2946562
CAN_1_bin.172.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.172.fa,3738377
CAN_1_bin.174.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.174.fa,1166702
CAN_1_bin.177.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.177.fa,4385690
CAN_1_bin.180.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.180.fa,4039223
CAN_1_bin.181.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.181.fa,7393795
CAN_1_bin.183.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.183.fa,5546942
CAN_1_bin.189.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.189.fa,1406030
CAN_1_bin.193.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.193.fa,6329923
CAN_1_bin.194.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.194.fa,3315240
