MAG	K00925	K00625	K01895	K01908	K01659	K01720	K01847	K01848	K00975	K00703	K00700	K00688	K01214	K00705	K00626	K00023	K03821	K05973	K00134	K01596	K01610	K01006	K03841	K01007	K00937	K22468	K01514	K02040	K02037	K02038	K02036	K07657	K07636	K02650	K02652	K02653	K02654	K02662	K02663	K02664	K02665	K02666	K02669	K02670	K16092	K06073	K06074	K06858	K03832	K03561	K03559	K09882	K02232	K02233	K00768	K02231	K01012	K00833	K01935	K00652	K01176	K01179	K01188	K01198	K01185	K01183
coasm_bin.55	1	1	1	1	0	1	1	0	2	1	3	1	3	1	0	1	2	0	1	1	0	1	0	0	2	0	0	2	2	2	2	1	1	3	2	1	1	1	1	1	1	1	1	3	1	0	0	0	1	2	2	0	1	1	1	1	1	1	1	1	0	0	0	0	1	0
CAN_2_bin.6	1	1	1	1	0	0	1	0	2	1	1	1	1	1	1	2	3	0	1	1	0	1	0	0	1	0	0	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	2	0	0	0	0	6	3	3	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
CAN_1_bin.210	1	1	1	1	2	0	0	0	0	0	0	0	0	0	1	2	1	1	1	1	0	0	1	1	1	1	0	2	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2	1	0	0	0	5	3	4	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0
CAN_1_bin.77	1	0	1	1	0	0	0	2	3	1	0	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	2	2	2	3	0	1	0	1	1	1	1	1	1	0	1	5	0	1	0	0	0	8	2	6	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0
CAN_5_bin.112	1	0	1	0	0	0	0	1	1	1	1	1	0	1	2	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	4	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
coasm_bin.260	0	0	1	0	2	0	0	3	3	0	1	2	2	1	1	0	0	0	1	1	0	1	0	0	2	2	0	4	2	2	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0
coasm_bin.481	1	0	1	1	0	0	0	1	1	1	2	1	1	1	2	0	0	0	1	1	1	1	1	0	2	1	0	5	2	1	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0
