genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster,taxonomy,tax_confidence,cluster_members,closest_cluster_member,furthest_cluster_member,completeness_metric,contamination_metric
coasm_bin.518.fa,85.38897205804957,NA,NA,NA,NA,NA,1_1,NA,NA,3,99.98,99.95,NA,NA
coasm_bin.385.fa,86.0321264490409,NA,NA,NA,NA,NA,2_1,NA,NA,2,99.78,99.78,NA,NA
coasm_bin.561.fa,99.98763741644106,NA,NA,NA,NA,NA,3_1,NA,NA,2,99.91,99.91,NA,NA
CAN_5_bin.180.fa,59.55909629115258,NA,NA,NA,NA,NA,4_1,NA,NA,2,99.58,99.58,NA,NA
coasm_bin.22.fa,61.74081643750203,NA,NA,NA,NA,NA,5_0,NA,NA,1,NA,NA,NA,NA
CAN_5_bin.150.fa,101.24504363280052,NA,NA,NA,NA,NA,6_1,NA,NA,2,99.98,99.98,NA,NA
coasm_bin.25.fa,51.230669854377126,NA,NA,NA,NA,NA,7_1,NA,NA,2,99.75,99.75,NA,NA
coasm_bin.532.fa,62.05172849164725,NA,NA,NA,NA,NA,8_0,NA,NA,1,NA,NA,NA,NA
CAN_1_bin.48.fa,102.46247273318104,NA,NA,NA,NA,NA,9_1,NA,NA,4,100.00,100.00,NA,NA
coasm_bin.489.fa,101.68378642702748,NA,NA,NA,NA,NA,10_1,NA,NA,3,100.00,99.99,NA,NA
CAN_1_bin.195.fa,93.05275377603944,NA,NA,NA,NA,NA,11_1,NA,NA,6,99.84,99.48,NA,NA
coasm_bin.24.fa,79.77144661102429,NA,NA,NA,NA,NA,12_1,NA,NA,2,99.77,99.77,NA,NA
coasm_bin.388.fa,77.95572790618887,NA,NA,NA,NA,NA,13_1,NA,NA,2,99.83,99.83,NA,NA
coasm_bin.41.fa,81.49021726601248,NA,NA,NA,NA,NA,14_1,NA,NA,2,99.85,99.85,NA,NA
coasm_bin.499.fa,90.14325887502233,NA,NA,NA,NA,NA,15_1,NA,NA,3,99.95,99.89,NA,NA
CAN_4_bin.76.fa,52.70351834519658,NA,NA,NA,NA,NA,16_0,NA,NA,1,NA,NA,NA,NA
CAN_5_bin.145.fa,101.53995567394551,NA,NA,NA,NA,NA,17_1,NA,NA,2,100.00,100.00,NA,NA
coasm_bin.441.fa,95.90004953597872,NA,NA,NA,NA,NA,18_1,NA,NA,3,99.55,99.46,NA,NA
