organism,C/N,N/P,DO avg,cumulative aeration,Acetate,Propionate,N_Ax-2
Aeromonas,-0.2365,0.9248,-0.9953,-0.984,-0.6731,0.7138,-0.9222
Azospira,0.8902,-0.316,0.577,0.7778,0.9996,-0.9965,0.8952
Ca_Accumulibacter,-0.4657,0.8045,-0.9419,-0.9978,-0.8327,0.8627,-0.9886
Ca_Caldilinea,-0.4568,0.8104,-0.9452,-0.9984,-0.8271,0.8576,-0.987
Ca_Competibacter,0.8847,-0.3273,0.5866,0.7852,0.9999,-0.9975,0.9004
Ca_Sarcinithrix,-0.6995,0.6009,-0.8064,-0.9371,-0.9564,0.9714,-0.9904
Denitratisoma,0.9809,0.3405,-0.0539,0.2204,0.7678,-0.7303,0.4259
Dokdonella,0.9718,-0.0865,0.371,0.6102,0.966,-0.9499,0.7669
Hydrogenophaga,0.821,-0.4404,0.6813,0.8551,0.9942,-0.9987,0.9469
Lysobacter,0.0342,0.9931,-0.9845,-0.8994,-0.4487,0.4986,-0.7838
Pseudoxanthomonas,0.534,-0.7552,0.9125,0.9895,0.8738,-0.8999,0.9974
Rhodoplanes,-0.7035,0.5963,-0.803,-0.9351,-0.958,0.9727,-0.9896
Sediminibacterium,0.3052,-0.8953,0.9859,0.9942,0.7241,-0.7619,0.9474
Thauera,0.3596,-0.8681,0.9746,0.9987,0.7627,-0.7981,0.9643
Zoogloea,0.3492,-0.8736,0.977,0.9981,0.7554,-0.7913,0.9613
alphaI_cluster,-0.7912,0.4852,-0.7173,-0.8802,-0.9875,0.9948,-0.9619
midas_g_12887,-0.45,0.8149,-0.9477,-0.9988,-0.8228,0.8536,-0.9857
midas_g_171,0.1465,1.0,-0.9585,-0.8445,-0.3453,0.3978,-0.7089
midas_g_2019,-0.6632,0.6397,-0.8347,-0.9533,-0.9407,0.9584,-0.996
midas_g_26667,-0.7285,0.5672,-0.7812,-0.9219,-0.9676,0.9804,-0.9838
midas_g_31688,-0.7974,0.4762,-0.7102,-0.8753,-0.989,0.9958,-0.959
midas_g_36422,-0.0833,0.9725,-0.9983,-0.9445,-0.5505,0.5968,-0.8513
midas_g_3943,-0.8296,0.4268,-0.6701,-0.8472,-0.9957,0.9993,-0.9419
midas_g_41804,0.1648,0.9999,-0.9531,-0.8344,-0.3278,0.3807,-0.6957
midas_g_428,0.3139,-0.8912,0.9843,0.9951,0.7304,-0.7679,0.9503
midas_g_61007,-0.0063,0.9876,-0.9908,-0.9164,-0.4846,0.5333,-0.8083
midas_g_71310,-0.5828,0.7153,-0.8869,-0.9793,-0.9009,0.924,-0.9999
midas_g_8672,-0.327,0.8848,-0.9818,-0.9964,-0.7398,0.7767,-0.9546
midas_g_973,-0.8804,0.3359,-0.594,-0.7909,-1.0,0.9981,-0.9044
