seq,Kingdom,Phylum,Class,Order,Family,Genus,Species,rel_ab
003284e7643a47fcdab27891cced2a66,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,D05-2,midas_g_31688,midas_s_31688,0.002329
00513cae3b2877bc7a7730f40312f97f,Bacteria,Proteobacteria,Gammaproteobacteria,Competibacterales,Competibacteraceae,Ca_Competibacter,,0.000563
005cf4f1d005d86d57ffdd01808ea21e,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Aurantisolimonas,,0.033629
006a3bfa4e7ea6a4788e31b776b7e6c1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,midas_s_41450,0.001674
00857485ad05de1627ccc3881aaabdb0,Bacteria,Myxococcota,bacteriap25,midas_o_25924,midas_f_73008,midas_g_73008,midas_s_73008,0.000556
009564af4e60c5118899caed7c0dd586,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,Sediminibacterium_salmoneum,0.018603
00a674ff1b3eedd6d12d958bed100a74,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,midas_f_2390,midas_g_6890,,0.00044
00c3ca16f3d6ddeff7533f98676fa214,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,midas_g_1668,midas_s_30548,0.00032
00db0c0419e71a3222dc483990c535b9,Bacteria,,,,,,,0.153785
00dd8e42dc15418793a226b9e5a15faf,Bacteria,,,,,,,0.001196
00f36962721c382fa009aab208745ba0,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,midas_g_10988,midas_s_28486,0.00067
00f9ebbd116e56c9858776b48b74565e,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,midas_s_58718,0.000257
00fb9aad4ff840201dfcb1ca02405c04,Bacteria,,,,,,,0.094334
010986139ed60489250b7a421e4d63d9,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,midas_g_6110,midas_s_37804,0.000257
010c4e8cfb1c11912d23e854660dd57b,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,,,0.000525
011befe1668bc005622daeaefd053a7b,Bacteria,Patescibacteria,Microgenomatia,Ca_Shapirobacteria,midas_f_2290,,,0.002022
012538fa4337eb1e9e3874a2e0792491,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,,0.00121
0138936a169c4a0914606cedbcd38fa6,Bacteria,Actinobacteriota,Actinobacteria,midas_o_5,midas_f_5,midas_g_399,midas_s_18349,0.000476
01678bd1450874fd4ee087d0d2ee5349,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio_paquesii,0.000794
016fa797236db441417c96f55f929969,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,midas_f_9443,midas_g_9443,,0.00154
01a7c19fe64d4300e6e5a8a7280a10bb,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,,,0.01969
01e6385565684b446c620b0be139197b,Bacteria,,,,,,,0.137248
0201ad826209ed7fb2b6de607f76957e,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea,midas_s_26471,0.00132
0203cb85481b6a76d794ca9f1001c499,Bacteria,Planctomycetota,Pla4_lineage,midas_o_40607,midas_f_45449,midas_g_45449,midas_s_45449,0.012322
024ff7a3d8178eb2902938d9b3559288,Bacteria,Actinobacteriota,Actinobacteria,midas_o_5,midas_f_5,midas_g_3281,midas_s_65744,0.000938
026170bed2fa94c8277a5244500b93cd,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Aquimonas,Aquimonas_voraii,0.0011
026600da36b900cf6ff6ee481b90793a,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera,,0.003235
027118164bf6cedbd3fbb210686cc4a4,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,,,0.001415
027867aaaa14717d1963e634425f886e,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amaricoccus,midas_s_4750,0.002636
02969019e96fef0fe3e2f02f38316afa,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,,,0.00061
02b7af11150741f6de128690c4aa3340,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,,,0.000407
02ba8019542c93b74df972fc25fe10af,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Azospira,midas_s_1294,0.000791
02da44e500ade6eb6bd919f883d0dd32,Bacteria,Chloroflexi,Anaerolineae,SBR1031,midas_f_12777,midas_g_50688,midas_s_50688,0.000425
02f9493dbcd235f6075e0e3ae622c7ca,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,midas_g_8315,midas_s_61093,0.04206
030b136dcdd837ecdce0a7a95adc2d56,Bacteria,Planctomycetota,OM190,midas_o_35381,midas_f_35381,,,0.000489
03174ff6cb4a5f7bcc5b7e4ef924c60e,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Thauera,,0.003222
032641f730d95c79b76dd4cbae0c246d,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,midas_g_8808,midas_s_8808,0.000595
033af4ac7057fa72e75b20588418c9ce,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_27875,midas_s_27875,0.061657
034e485b2f313e4a9185045f02cc7220,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,midas_s_42239,0.001312
0352c42e74bd96a671fe5854263a5f5e,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,0.001111
038885272dbaefde0423e01959faac01,Bacteria,Patescibacteria,Microgenomatia,Ca_Collierbacteria,midas_f_28139,midas_g_57021,midas_s_57021,0.000607
039bd133ce59253899414b6c8ba6d67e,Bacteria,Bacteroidota,Ignavibacteria,SJA-28,midas_f_31,midas_g_55441,midas_s_55441,0.230415
039cb9ac8d5af2c99ca408814ddc77d1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Thauera,,0.003842
03ba4c458f3389eca8eb21b22290ed10,Bacteria,Desulfobacterota,Syntrophorhabdia,Syntrophorhabdales,Syntrophorhabdaceae,Syntrophorhabdus,,0.004246
03bed64096e13e23200fd80d0ae715cb,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_5391,midas_g_5391,midas_s_5391,0.00047
03d60eb1912411d9516686d1c0e8d77a,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Thauera,,0.005424
03ed5312cd679b937d3c7931ab12461a,Bacteria,Chloroflexi,Anaerolineae,RBG-13-54-9,,,,0.000607
03f4e6a353b02382d205f0d832831e81,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Macellibacteroides,,0.0005
03f77fdbf7ce18584760066d1364d36c,Bacteria,Patescibacteria,Microgenomatia,Ca_Pacebacteria,midas_f_46393,midas_g_46393,midas_s_46393,0.001574
03fd988de7a0981d1db2c0b6d206c259,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,midas_f_2019,midas_g_2019,midas_s_51741,0.027864
040c74eae6a3629f697268413ded437a,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Pleomorphomonadaceae,midas_g_7101,midas_s_34709,0.000502
042ad52e2c8d4dce2d2cc2e796463849,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,0.00732
0435b3a5879a68e5afbc66915ecda61d,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Lacihabitans,,0.100678
04790f5aba82b91059a546812ad694dc,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Fusibacteraceae,Fusibacter,midas_s_29079,0.001574
0480b6a16673d25ac01d1da0b2833512,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,midas_s_22252,0.101914
0493af645ecdf91cff6896ec5d5aca21,Bacteria,Proteobacteria,Alphaproteobacteria,,,,,0.000478
049a47aba1aa118b203038be18526b1b,Bacteria,Bacteroidota,Ignavibacteria,SJA-28,midas_f_31,midas_g_171,,0.004044
049e6f182990799b700d79450499710f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ensifer,midas_s_40162,0.029903
04bc2a095282907ef4df7a2a9447166f,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,midas_g_467,midas_s_1462,0.001726
04c76aef3814297a297700d39de56c6c,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,midas_g_39476,midas_s_54616,0.130689
04cf15134dd14ddeb54a2e95c09d4349,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,midas_s_116344,0.001411
04dee080600d54204c5137107b0f3bc7,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,,,0.000397
04f5c0bee93d6ee05c38c74e0bc674ce,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,,0.003487
04f675d15a1bc17e4b7e8c7893e1a816,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,,0.002381
04f9300ab6041a85696e8ea5a232b1cb,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Inhella,midas_s_16241,0.015232
0501fa310449443c35bacacdd60bbf34,Bacteria,Proteobacteria,Gammaproteobacteria,Competibacterales,Competibacteraceae,Ca_Competibacter,midas_s_198,0.039169
0502fdd9c919fd2982a93b66cda6697d,Bacteria,Firmicutes,Bacilli,Bacillales,midas_f_83150,midas_g_83150,midas_s_117738,0.000404
051d14c7d7e9a5358e8da8a52b48bca3,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,,,0.001005
0522f424a0ae2c7f046c5bcafebbc0ca,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Ca_Villigracilis,,0.007076
0528c8d6cf081ba719cf96cb550150fb,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Azonexus,midas_s_1978,0.069188
053bd1513e7a8fbb621acfa37d09c4b2,Bacteria,Bacteroidota,Bacteroidia,,,,,0.01202
05797ff5d08a4c360d45bd689238c2f1,Bacteria,,,,,,,0.000938
057bcefe7d185d0daf7b610144b1fa59,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,midas_g_859,,0.049875
05b92f31a7635c80f9228282dfe2b96b,Bacteria,Chloroflexi,Anaerolineae,SBR1031,Flexifilaceae,midas_g_25102,,0.035234
05c2b2196ce76f5eab58355bd11f5964,Bacteria,Patescibacteria,Gracilibacteria,JGI_0000069-P22,midas_f_15723,midas_g_61007,midas_s_61007,0.001494
05fd476024a64f2da18888c8cd557724,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,,0.000305
060668a761747dc3cbb3600cf5edeb83,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Ca_Omnitrophus,midas_s_102753,0.000809
0620149226837b0dc24e722a745740cf,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,SH-PL14,,0.002179
06288435b328d35994bcc8f72ea0fc3a,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes_vadinHA17,,,0.143133
062e7dbc610b8b01dd84f42a754d5060,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,,0.010311
063669beab0e471ace7cbc32283416e9,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,,0.018803
0639fb06d056d80fbc504c42c4169a68,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Persicitalea,midas_s_51357,0.003202
063e3c61d923929c5cba4b90a947805a,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Ca_Villigracilis,Ca_Villigracilis_propinquus,0.206766
065262b748557031f638872e76923c72,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,Reyranella_massiliensis,0.018216
0654e615fe3e9b0487505848dc4dbb78,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,midas_s_13110,0.002645
065a98742b20d730265fb45221fd34c4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,,0.033994
06894625cc4725640c9c1bba0d9aefc8,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,Defluviicoccaceae,Defluviicoccus,midas_s_3306,0.001466
06c4ab89a8abc60620b11d6b8eea8592,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29_marine_group,,0.001501
06ccbfa9dbe3fb9fac793fe2c480825c,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea,midas_s_26471,0.012446
06d64517fda152cd491385c24677d09a,Bacteria,,,,,,,0.324149
06e148ad8b35489ea97e51ef733e9550,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Macellibacteroides,,0.001313
06e4bf90950ed9dead32a26e0b26aa88,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,midas_s_84868,0.000563
06e777dc86f294846df60a1bdcfe6530,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Leadbetterella,,0.002329
06f43456e63206281ba1162e4e6d66d4,Bacteria,Proteobacteria,Gammaproteobacteria,Run-SP154,midas_f_27,midas_g_5853,midas_s_8467,0.001196
06f8906355750050f44895281f3523fb,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,0.000809
0706c8897410dc86c4fe695f43953448,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Parachlamydiaceae,Neochlamydia,midas_s_82383,0.000733
070f6743fd9c43985346d7912cd11526,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,midas_s_76325,0.003235
0717fa5cad93ab5cb1a3e9929e7014c1,Bacteria,Desulfobacterota,Desulfuromonadia,PB19,midas_f_1334,midas_g_1334,midas_s_22378,0.000489
071b20ea2fe191bc56e1001e3c3ef244,Bacteria,Proteobacteria,Gammaproteobacteria,Competibacterales,Competibacteraceae,Ca_Competibacter,midas_s_198,0.014495
07246a1fc2c2fed9e54374f5ee46c333,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,,,0.050561
0740074747aaa37414ce56733c3f3259,Bacteria,Proteobacteria,Gammaproteobacteria,Competibacterales,Competibacteraceae,Ca_Competibacter,midas_s_198,0.020576
074805110994d976b97dcfaeb0ad4352,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,0.000527
07640d1fcdb6b920c0b4257f7c9c028e,Bacteria,Myxococcota,Polyangia,Polyangiales,Phaselicystidaceae,Phaselicystis,midas_s_52974,0.000868
0770fd1ca9e37cef3ffdf1ba2abc344f,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,midas_g_859,,0.0008
07c181c387580192eace1408605a1b7c,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,midas_g_59492,midas_s_76389,0.000617
07c684ece86de1b12bf432870683e62b,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,,0.00144
07d3708e3046a2846a0b1cc67846a658,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Herpetosiphonaceae,Herpetosiphon,Herpetosiphon_aurantiacus,0.013011
07d8bf1afa43126d7ab9ca4fefad8259,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,,,0.003451
0803dcf438801c4492629e7ca94cca2e,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta,,0.001415
080c84745ca48dd0e7ef7580df83bafb,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,,,0.001245
0814110fd0410b6f675526dc4d4a32fb,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,,0.000762
081f8228264f0575df0146e28439e003,Bacteria,Firmicutes,midas_c_4,midas_o_7,midas_f_118715,midas_g_118715,midas_s_118715,0.002224
0823828b2221b4beaeefdd50d8fed560,Bacteria,Margulisbacteria,midas_c_25190,midas_o_65291,midas_f_65291,midas_g_84886,midas_s_84886,0.001011
082b496c934ad5588dc586bb303faaa2,Bacteria,Proteobacteria,Gammaproteobacteria,Competibacterales,Competibacteraceae,Ca_Competibacter,,0.012144
084030429e088059ae5059384cda46eb,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,0.000607
08409eb55d39ef45b31d93c3d30fd901,Bacteria,Armatimonadota,midas_c_216,midas_o_216,midas_f_216,,,0.000986
08511b3b442d76f7c9485dde8b381b03,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,,0.007683
088ee4c48bc3cb0ca751d3c465b56453,Bacteria,Bacteroidota,Ignavibacteria,SJA-28,midas_f_31,midas_g_171,,0.003959
08b11eeb13a43fb517114963b350df70,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Haliscomenobacter,,0.001007
08d10673b70f3d8b078a149a25d94b19,Bacteria,WPS-2,midas_c_206,midas_o_395,midas_f_547,midas_g_547,midas_s_1718,0.009098
08ea1c9b9d368cd6d9bfeb8857e90315,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,,,0.102006
08f430e113701ebb008a1c63622e9e5e,Bacteria,Armatimonadota,midas_c_216,midas_o_216,midas_f_216,midas_g_1029,midas_s_74166,0.001415
08fe91d1fc29f781441a80383cb6644a,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,midas_g_10639,midas_s_24587,0.003355
09116b7e2b89e63e7af83a0a9f8c5371,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelotrichaceae_UCG-003,midas_s_14500,0.000412
092a1e06d547999a906e5d843b2d57e7,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas_bullata,0.005759
092ab99df8cd76432d44a186cbced262,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Ornatilinea,midas_s_38974,0.024981
09304de7bcdde93714df6d4800a79b4d,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,,0.006111
09383f3babfd32418e7ba07634680e12,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,Pannonibacter,Pannonibacter_phragmitetus,0.039379
0945c17acd293a5bc6d625db7f51d0ea,Bacteria,Bacteroidota,Ignavibacteria,SJA-28,midas_f_31,midas_g_171,,0.004448
094e43a918ebb6f77d4644cc89b65a3e,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,midas_g_4830,midas_s_4830,0.000493
09524b82b18b3d05eab6a0c597aa330e,Bacteria,Proteobacteria,Gammaproteobacteria,Competibacterales,Competibacteraceae,Ca_Competibacter,midas_s_198,0.044466
