MAG,Denitrification_genes_present,Denitrification_genes_total,Denitrification_completeness,Denitrification_present_list,Denitrification_absent_list,Nitrogen_other_genes_present,Nitrogen_other_genes_total,Nitrogen_other_completeness,Nitrogen_other_present_list,Nitrogen_other_absent_list,PolyP_genes_present,PolyP_genes_total,PolyP_completeness,PolyP_present_list,PolyP_absent_list,Phosphate_genes_present,Phosphate_genes_total,Phosphate_completeness,Phosphate_present_list,Phosphate_absent_list,PHA_genes_present,PHA_genes_total,PHA_completeness,PHA_present_list,PHA_absent_list,Acetate_genes_present,Acetate_genes_total,Acetate_completeness,Acetate_present_list,Acetate_absent_list,Propionate_PHV_genes_present,Propionate_PHV_genes_total,Propionate_PHV_completeness,Propionate_PHV_present_list,Propionate_PHV_absent_list,Glycogen_genes_present,Glycogen_genes_total,Glycogen_completeness,Glycogen_present_list,Glycogen_absent_list
CAN_1_bin.148,0,10,0/10,,narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,1,3,1/3,ppk(1),ppk2; ppx,7,8,7/8,pstS(1); pstC(1); pstA(1); pstB(1); phoB(1); phoR(1); phoU(1),pit,1,4,1/4,phaA(1),phaB; phaC; phaZ,0,3,0/3,,pta; ackA; acs,0,5,0/5,,prpC; prpD; prpE; mcmA; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_1_bin.174,0,10,0/10,,narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,0,3,0/3,,ppk; ppk2; ppx,0,8,0/8,,pstS; pstC; pstA; pstB; pit; phoB; phoR; phoU,0,4,0/4,,phaA; phaB; phaC; phaZ,0,3,0/3,,pta; ackA; acs,0,5,0/5,,prpC; prpD; prpE; mcmA; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_1_bin.177,0,10,0/10,,narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,0,3,0/3,,ppk; ppk2; ppx,0,8,0/8,,pstS; pstC; pstA; pstB; pit; phoB; phoR; phoU,0,4,0/4,,phaA; phaB; phaC; phaZ,0,3,0/3,,pta; ackA; acs,0,5,0/5,,prpC; prpD; prpE; mcmA; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_1_bin.180,0,10,0/10,,narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,0,3,0/3,,ppk; ppk2; ppx,0,8,0/8,,pstS; pstC; pstA; pstB; pit; phoB; phoR; phoU,0,4,0/4,,phaA; phaB; phaC; phaZ,0,3,0/3,,pta; ackA; acs,0,5,0/5,,prpC; prpD; prpE; mcmA; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_1_bin.195,0,10,0/10,,narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,0,3,0/3,,ppk; ppk2; ppx,0,8,0/8,,pstS; pstC; pstA; pstB; pit; phoB; phoR; phoU,0,4,0/4,,phaA; phaB; phaC; phaZ,0,3,0/3,,pta; ackA; acs,0,5,0/5,,prpC; prpD; prpE; mcmA; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_1_bin.2,0,10,0/10,,narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,0,3,0/3,,ppk; ppk2; ppx,0,8,0/8,,pstS; pstC; pstA; pstB; pit; phoB; phoR; phoU,0,4,0/4,,phaA; phaB; phaC; phaZ,0,3,0/3,,pta; ackA; acs,0,5,0/5,,prpC; prpD; prpE; mcmA; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_1_bin.210,0,10,0/10,,narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,0,3,0/3,,ppk; ppk2; ppx,0,8,0/8,,pstS; pstC; pstA; pstB; pit; phoB; phoR; phoU,0,4,0/4,,phaA; phaB; phaC; phaZ,0,3,0/3,,pta; ackA; acs,0,5,0/5,,prpC; prpD; prpE; mcmA; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_1_bin.48,0,10,0/10,,narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,0,3,0/3,,ppk; ppk2; ppx,0,8,0/8,,pstS; pstC; pstA; pstB; pit; phoB; phoR; phoU,0,4,0/4,,phaA; phaB; phaC; phaZ,0,3,0/3,,pta; ackA; acs,0,5,0/5,,prpC; prpD; prpE; mcmA; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_1_bin.5,0,10,0/10,,narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,0,3,0/3,,ppk; ppk2; ppx,0,8,0/8,,pstS; pstC; pstA; pstB; pit; phoB; phoR; phoU,2,4,2/4,phaB(1); phaC(1),phaA; phaZ,1,3,1/3,ackA(1),pta; acs,0,5,0/5,,prpC; prpD; prpE; mcmA; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_1_bin.77,0,10,0/10,,narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,0,3,0/3,,ppk; ppk2; ppx,0,8,0/8,,pstS; pstC; pstA; pstB; pit; phoB; phoR; phoU,0,4,0/4,,phaA; phaB; phaC; phaZ,0,3,0/3,,pta; ackA; acs,1,5,1/5,mcmB(1),prpC; prpD; prpE; mcmA,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
