MAG	iterativeID	genus	nosZ_copies	cladeI	cladeII	cladeIII	clade_call	best_hmm_score
CAN_1_bin.177	midas_g_155.3_ma	Pararhodobacter	1	1	0	0	I	755.8
CAN_1_bin.77	UBA5066.1_m	UBA5066	1	0	1	0	II	716.6
CAN_1_bin.98	Ca_Accumulibacter.23_ma	Accumulibacter	1	0	1	0	II	714.7
CAN_2_bin.173	JACDQM01.1_m	JACDQM01	1	1	0	0	I	515.2
CAN_2_bin.176	UBA5066.2_m	UBA5066	1	0	1	0	II	725.8
CAN_2_bin.23	Zoogloea.11_ma	Zoogloea	1	1	0	0	I	747.4
CAN_2_bin.6	Denitratisoma.2_ma	Desulfobacillus	1	0	1	0	II	727.0
CAN_2_bin.66	JACTMZ01.1_m	JACTMZ01	1	0	1	0	II	691.3
CAN_3_bin.10	Rhodobacter.13_ma	JAAKGP01	1	1	0	0	I	745.8
CAN_3_bin.203	JAEULV01.1_m	JAEULV01	1	0	1	0	II	701.0
CAN_3_bin.205	Niabella.2_ma	Niabella	1	0	1	0	II	720.0
CAN_3_bin.208	Sulfuritalea.5_ma	Azospira_A	1	0	1	0	II	724.4
CAN_3_bin.216	Zoogloea.3_ma	Zoogloea	1	1	0	0	I	741.3
CAN_3_bin.221	OLB5.1_m	OLB5	1	0	1	0	II	712.6
CAN_3_bin.227	Kapaibacterium.1_m	Kapaibacterium	1	0	1	0	II	712.8
CAN_4_bin.103	UBA2796.1_m	UBA2796	1	0	1	0	II	642.1
CAN_4_bin.107	Ca_Caldilinea.1_ma	Caldilinea	1	0	1	0	II	614.6
CAN_4_bin.112	2-12-FULL-35-15.1_m	2-12-FULL-35-15	1	0	1	0	II	716.3
CAN_4_bin.166	Ignavibacterium.4_ma	UTCHB3	1	0	1	0	II	732.1
CAN_4_bin.195	Azonexus.1_m	Azonexus	1	0	1	0	II	715.0
CAN_4_bin.197	CAIKZJ01.1_m	CAIKZJ01	1	0	1	0	II	715.9
CAN_4_bin.208	Azospira.3_ma	Azospira_A	1	0	1	0	II	723.6
CAN_4_bin.220	Bosea.1_ma	JAIUNP01	1	0	1	0	II	701.1
CAN_4_bin.225	Accumulibacter.1_m	Accumulibacter	1	0	1	0	II	715.7
CAN_4_bin.236	Thauera.34_ma	Thauera	1	1	0	0	I	724.5
CAN_4_bin.238	Phaeodactylibacter.3_ma	UBA2329	1	0	1	0	II	713.9
CAN_4_bin.25	Ca_Competibacter.26_ma	Competibacter_A	1	1	0	0	I	738.8
CAN_4_bin.44	Mesorhizobium.22_ma	DUSC01	1	1	0	0	I	770.5
CAN_4_bin.64	Accumulibacter.2_m	Accumulibacter	1	0	1	0	II	717.6
CAN_5_bin.100	JAEXTR01.1_m	JAEXTR01	1	0	1	0	II	732.4
CAN_5_bin.112	Terrimonas.22_ma	JJ008	1	0	1	0	II	717.5
CAN_5_bin.145	JAAFHL01.1_m	JAAFHL01	1	0	1	0	II	720.0
CAN_5_bin.147	Terrimonas.3_ma	SpSt-398	1	0	1	0	II	705.4
CAN_5_bin.167	OLB5.2_m	OLB5	1	0	1	0	II	718.4
CAN_5_bin.40	Giesbergeria.1_m	Giesbergeria	1	1	0	0	I	758.3
CAN_5_bin.62	Ca_Caldilinea.2_ma	Caldilinea	1	0	1	0	II	685.1
CAN_5_bin.70	Azonexus.12_ma	Azonexus	1	0	1	0	II	718.1
coasm_bin.10	Leptovillus.1_m	Leptovillus	1	0	1	0	II	676.8
coasm_bin.105	Rhodobacter.5_ma	JAAKGP01	1	1	0	0	I	599.0
coasm_bin.108	Rhodobacter.1_ma	Tabrizicola	1	1	0	0	I	739.0
coasm_bin.110	Leptonema.1_m	Leptonema	1	0	1	0	II	626.4
coasm_bin.114	UBA2475.1_m	UBA2475	1	0	1	0	II	715.9
coasm_bin.121	UBA2475.2_m	UBA2475	1	0	1	0	II	711.4
coasm_bin.132	ELB16-189.1_m	ELB16-189	1	0	1	0	II	709.6
coasm_bin.139	UBA2386.1_m	UBA2386	1	0	1	0	II	671.2
coasm_bin.142	OLB10.1_m	OLB10	1	0	1	0	II	714.8
coasm_bin.15	Sulfuritalea.1_m	Sulfuritalea	1	0	1	0	II	714.8
coasm_bin.153	JAFEBO01.1_m	JAFEBO01	1	0	1	0	II	650.9
coasm_bin.156	midas_g_1409.2_ma	M3007	1	0	1	0	II	709.8
coasm_bin.157	SHZI01.1_m	SHZI01	1	1	0	0	I	739.9
coasm_bin.171	Inhella.1_m	Inhella	1	1	0	0	I	746.4
coasm_bin.178	CALBKH01.1_m	CALBKH01	1	0	1	0	II	423.8
coasm_bin.181	JAAEKA01.1_m	JAAEKA01	3	0	3	0	II	373.3
coasm_bin.183	Gemmatimonas.3_ma	JAABRT01	1	0	1	0	II	698.3
coasm_bin.185	Ca_Accumulibacter.8_ma	Accumulibacter	1	0	1	0	II	719.7
coasm_bin.196	JAIUNP01.1_m	JAIUNP01	2	1	1	0	I;II	805.7
coasm_bin.202	Defluviimonas.1_ma	Albidovulum	1	1	0	0	I	759.8
coasm_bin.203	Rhodobacter.3_ma	Fuscibacter	2	1	1	0	I;II	737.6
coasm_bin.208	Niveibacterium.1_ma	Niveibacterium	1	1	0	0	I	753.5
coasm_bin.213	Flavipsychrobacter.1_m	Flavipsychrobacter	1	0	1	0	II	724.1
coasm_bin.214	Desulfobacillus.1_m	Desulfobacillus	1	0	1	0	II	718.0
coasm_bin.222	Zoogloea.2_ma	Zoogloea	1	1	0	0	I	741.2
coasm_bin.233	SHZI01.2_m	SHZI01	1	1	0	0	I	744.2
coasm_bin.238	BA12.1_m	BA12	2	0	2	0	II	358.7
coasm_bin.246	Sulfuritalea.2_ma	Sulfuricystis	2	0	2	0	II	624.7
coasm_bin.248	Rhodobacteraceae.16_ma	Neotabrizicola	2	2	0	0	I	758.5
coasm_bin.249	Giesbergeria.2_m	Giesbergeria	1	1	0	0	I	761.2
coasm_bin.250	Dechlorobacter.6_ma	Accumulibacter	1	0	1	0	II	725.5
coasm_bin.256	Azonexus.1_ma	Azonexus	1	0	1	0	II	720.9
coasm_bin.259	Mariniflexile.1_m	Mariniflexile	1	0	1	0	II	706.3
coasm_bin.260	JAAEKA01.2_m	JAAEKA01	1	0	1	0	II	673.4
coasm_bin.268	Rurimicrobium.3_ma	Flavipsychrobacter	1	0	1	0	II	726.2
coasm_bin.286	UBA2475.3_m	UBA2475	1	0	1	0	II	720.6
coasm_bin.31	Rhodobacteraceae.1_ma	JAAKGP01	1	1	0	0	I	749.9
coasm_bin.312	PHOS-HE28.1_m	PHOS-HE28	3	0	3	0	II	214.5
coasm_bin.313	JACKCG01.1_m	JACKCG01	1	0	1	0	II	654.2
coasm_bin.314	SCN-52-12.1_m	SCN-52-12	1	0	1	0	II	715.1
coasm_bin.318	UBA5066.3_m	UBA5066	2	0	2	0	II	524.8
coasm_bin.320	JADLGF01.1_m	JADLGF01	1	0	1	0	II	648.6
coasm_bin.322	Edaphobaculum.13_ma	Flavipsychrobacter	1	0	1	0	II	721.5
coasm_bin.335	Inhella.2_m	Inhella	1	1	0	0	I	740.3
coasm_bin.340	Mesorhizobium.4_ma	Mesorhizobium_A	1	1	0	0	I	825.0
coasm_bin.347	Ca_Accumulibacter.3_ma	Accumulibacter	1	0	1	0	II	721.1
coasm_bin.348	P3OB-42.3_ma	JAEUJQ01	1	0	1	0	II	706.9
coasm_bin.350	JAFLCM01.1_m	JAFLCM01	1	0	1	0	II	657.7
coasm_bin.358	JABWBB01.1_m	JABWBB01	1	0	1	0	II	649.6
coasm_bin.362	Runella.1_m	Runella	1	0	1	0	II	241.3
coasm_bin.364	Sediminibacterium.5_ma	Sediminibacterium	1	0	1	0	II	724.2
coasm_bin.365	Ca_Competibacter.109_ma	JARSSO01	1	1	0	0	I	749.6
coasm_bin.373	Leadbetterella.1_m	Leadbetterella	1	0	1	0	II	697.7
coasm_bin.392	Gemmobacter.1_ma	Gemmobacter	1	1	0	0	I	763.0
coasm_bin.393	IGN3.1_m	IGN3	3	0	3	0	II	239.6
coasm_bin.394	Chelatococcus_asaccharovorans.1_ma	Chelatococcus	1	1	0	0	I	760.7
coasm_bin.399	Bosea.3_ma	Bosea	1	1	0	0	I	828.5
coasm_bin.40	Taibaiella.5_ma	Flavipsychrobacter	1	0	1	0	II	714.0
coasm_bin.420	Rhizobiaceae.11_ma	Mesorhizobium_I	1	1	0	0	I	767.5
coasm_bin.425	BA12.2_m	BA12	1	0	1	0	II	713.1
coasm_bin.441	Ignavibacterium.2_ma	UTCHB3	1	0	1	0	II	723.8
coasm_bin.466	OLB5.3_m	OLB5	1	0	1	0	II	716.5
coasm_bin.468	JACTMZ01.4_m	JACTMZ01	1	0	1	0	II	691.3
coasm_bin.47	UBA6663.1_m	UBA6663	1	0	1	0	II	681.0
coasm_bin.481	Leptovillus.2_m	Leptovillus	1	0	1	0	II	673.7
coasm_bin.482	BA9.1_m	BA9	1	0	1	0	II	714.3
coasm_bin.484	Rhodoplanes.1_ma	SCUB01	1	0	1	0	II	698.5
coasm_bin.492	Flavitalea.4_ma	JJ008	2	0	2	0	II	500.8
coasm_bin.497	Amaricoccus.3_ma	Amaricoccus	1	1	0	0	I	812.4
coasm_bin.51	Hydrogenophaga.2_m	Hydrogenophaga	1	1	0	0	I	761.0
coasm_bin.514	Mesorhizobium.15_ma	Mesorhizobium_G	1	1	0	0	I	750.0
coasm_bin.521	PGYR01.1_m	PGYR01	1	0	1	0	II	719.8
coasm_bin.529	Azonexus.2_m	Azonexus	2	0	2	0	II	731.8
coasm_bin.53	midas_g_8672.1_ma	OLB9	1	0	1	0	II	708.3
coasm_bin.538	Defluviicoccus.1_m	Defluviicoccus	1	1	0	0	I	814.3
coasm_bin.539	Flavobacterium.25_ma	Flavobacterium	1	0	1	0	II	726.7
coasm_bin.54	UBA2396.1_m	UBA2396	1	0	1	0	II	645.8
coasm_bin.543	Fen-1058.1_m	Fen-1058	1	0	1	0	II	674.0
coasm_bin.548	Phnomibacter.1_m	Phnomibacter	1	0	1	0	II	720.1
coasm_bin.55	Ca_Competibacter.51_ma	Competibacter	1	1	0	0	I	754.4
coasm_bin.551	UBA2336.1_m	UBA2336	1	0	1	0	II	698.2
coasm_bin.555	Mesorhizobium.9_ma	DUSC01	1	1	0	0	I	779.4
coasm_bin.578	Terrimicrobium.3_ma	QYQL01	1	0	1	0	II	681.4
coasm_bin.579	PHOS-HE28.2_m	PHOS-HE28	1	0	1	0	II	705.7
coasm_bin.61	midas_g_9628.1_ma	UBA1930	1	0	1	0	II	721.0
