MAG,protein_id,KO,gene,pathway,step
CAN_1_bin.148,contig_2952_pilon_138,K00626,phaA,PHA,PHA_synthesis
CAN_1_bin.148,contig_2952_pilon_236,K02040,pstS,Phosphate,Phosphate_transport
CAN_1_bin.148,contig_2952_pilon_237,K02037,pstC,Phosphate,Phosphate_transport
CAN_1_bin.148,contig_2952_pilon_238,K02038,pstA,Phosphate,Phosphate_transport
CAN_1_bin.148,contig_2952_pilon_239,K02036,pstB,Phosphate,Phosphate_transport
CAN_1_bin.148,contig_2952_pilon_240,K02039,phoU,Phosphate,Phosphate_regulation
CAN_1_bin.148,contig_2952_pilon_451,K07657,phoB,Phosphate,Phosphate_regulation
CAN_1_bin.148,contig_2952_pilon_452,K07636,phoR,Phosphate,Phosphate_regulation
CAN_1_bin.148,contig_2952_pilon_453,K00937,ppk,PolyP,PolyP_synthesis
CAN_1_bin.5,contig_2181_pilon_181,K03821,phaC,PHA,PHA_synthesis
CAN_1_bin.5,contig_2181_pilon_183,K00925,ackA,Acetate,Acetate_activation
CAN_1_bin.5,contig_2181_pilon_186,K00023,phaB,PHA,PHA_synthesis
CAN_1_bin.77,contig_3578_pilon_217,K01848,mcmB,Propionate_PHV,Methylmalonyl_CoA
CAN_1_bin.84,contig_9087_pilon_13,K00368,nirK,Denitrification,NO2_to_NO
CAN_1_bin.84,contig_9087_pilon_148,K00626,phaA,PHA,PHA_synthesis
CAN_1_bin.84,contig_9087_pilon_194,K00626,phaA,PHA,PHA_synthesis
CAN_1_bin.84,contig_9087_pilon_229,K02036,pstB,Phosphate,Phosphate_transport
CAN_1_bin.84,contig_9087_pilon_230,K02038,pstA,Phosphate,Phosphate_transport
CAN_1_bin.84,contig_9087_pilon_231,K02037,pstC,Phosphate,Phosphate_transport
CAN_1_bin.98,contig_1422_pilon_57,K03821,phaC,PHA,PHA_synthesis
CAN_1_bin.98,contig_1422_pilon_61,K00626,phaA,PHA,PHA_synthesis
CAN_1_bin.98,contig_1422_pilon_68,K03821,phaC,PHA,PHA_synthesis
CAN_1_bin.98,contig_1422_pilon_79,K22468,ppk2,PolyP,PolyP_synthesis
CAN_1_bin.98,contig_1422_pilon_143,K00688,glgP,Glycogen,Glycogen_degradation
CAN_1_bin.98,contig_1422_pilon_192,K00626,phaA,PHA,PHA_synthesis
CAN_1_bin.98,contig_1422_pilon_210,K00703,glgC,Glycogen,Glycogen_synthesis
CAN_1_bin.98,contig_1422_pilon_228,K02040,pstS,Phosphate,Phosphate_transport
CAN_1_bin.98,contig_1410_pilon_31,K00363,nirD,Nitrogen_other,DNRA_NO2_to_NH4
CAN_1_bin.98,contig_1410_pilon_32,K00362,nirB,Nitrogen_other,DNRA_NO2_to_NH4
CAN_2_bin.125,contig_10783_pilon_243,K00626,phaA,PHA,PHA_synthesis
CAN_2_bin.125,contig_10783_pilon_324,K00023,phaB,PHA,PHA_synthesis
CAN_2_bin.125,contig_10783_pilon_326,K00023,phaB,PHA,PHA_synthesis
CAN_2_bin.125,contig_18767_pilon_3,K02568,napB,Denitrification,NO3_to_NO2
CAN_2_bin.125,contig_18767_pilon_4,K02567,napA,Denitrification,NO3_to_NO2
CAN_2_bin.151,contig_9066_pilon_173,K00937,ppk,PolyP,PolyP_synthesis
CAN_2_bin.151,contig_9066_pilon_434,K00626,phaA,PHA,PHA_synthesis
CAN_2_bin.159,contig_7614_pilon_173,K04561,norB,Denitrification,NO_to_N2O
CAN_2_bin.159,contig_7614_pilon_180,K00023,phaB,PHA,PHA_synthesis
CAN_2_bin.159,contig_7614_pilon_611,K02039,phoU,Phosphate,Phosphate_regulation
CAN_2_bin.159,contig_7614_pilon_612,K02036,pstB,Phosphate,Phosphate_transport
CAN_2_bin.159,contig_7614_pilon_613,K02038,pstA,Phosphate,Phosphate_transport
CAN_2_bin.159,contig_7614_pilon_614,K02037,pstC,Phosphate,Phosphate_transport
CAN_2_bin.159,contig_7614_pilon_615,K02040,pstS,Phosphate,Phosphate_transport
CAN_2_bin.159,contig_7614_pilon_616,K02040,pstS,Phosphate,Phosphate_transport
CAN_2_bin.173,contig_9606_pilon_11,K01895,acs,Acetate,Acetate_activation
CAN_2_bin.173,contig_9606_pilon_12,K01895,acs,Acetate,Acetate_activation
CAN_2_bin.173,contig_18383_pilon_3,K02035,pit,Phosphate,Phosphate_transport
CAN_2_bin.173,contig_12282_pilon_3,K01847,mcmA,Propionate_PHV,Methylmalonyl_CoA
CAN_2_bin.173,contig_12282_pilon_4,K01847,mcmA,Propionate_PHV,Methylmalonyl_CoA
CAN_2_bin.176,contig_12122_pilon_39,K00626,phaA,PHA,PHA_synthesis
CAN_2_bin.176,contig_3015_pilon_63,K01895,acs,Acetate,Acetate_activation
CAN_2_bin.176,contig_3015_pilon_109,K01895,acs,Acetate,Acetate_activation
CAN_2_bin.176,contig_3015_pilon_109,K01908,prpE,Propionate_PHV,Propionyl_CoA_synthesis
CAN_2_bin.176,contig_3015_pilon_354,K01895,acs,Acetate,Acetate_activation
CAN_2_bin.176,contig_3015_pilon_396,K02035,pit,Phosphate,Phosphate_transport
CAN_2_bin.176,contig_3015_pilon_409,K02036,pstB,Phosphate,Phosphate_transport
CAN_2_bin.176,contig_3015_pilon_410,K02036,pstB,Phosphate,Phosphate_transport
CAN_2_bin.176,contig_3015_pilon_411,K02038,pstA,Phosphate,Phosphate_transport
CAN_2_bin.176,contig_3015_pilon_412,K02037,pstC,Phosphate,Phosphate_transport
CAN_2_bin.176,contig_3015_pilon_413,K02040,pstS,Phosphate,Phosphate_transport
CAN_2_bin.176,contig_3015_pilon_863,K01214,glgX,Glycogen,Glycogen_debranching
CAN_2_bin.176,contig_3015_pilon_878,K00626,phaA,PHA,PHA_synthesis
CAN_2_bin.176,contig_3015_pilon_953,K07636,phoR,Phosphate,Phosphate_regulation
CAN_2_bin.176,contig_3015_pilon_1010,K07636,phoR,Phosphate,Phosphate_regulation
CAN_2_bin.176,contig_3015_pilon_1176,K02035,pit,Phosphate,Phosphate_transport
CAN_2_bin.176,contig_3015_pilon_1242,K00925,ackA,Acetate,Acetate_activation
CAN_2_bin.176,contig_3015_pilon_1259,K15876,nrfH,Nitrogen_other,DNRA_NO2_to_NH4
CAN_2_bin.176,contig_3015_pilon_1260,K03385,nrfA,Nitrogen_other,DNRA_NO2_to_NH4
CAN_2_bin.176,contig_3015_pilon_1306,K04561,norB,Denitrification,NO_to_N2O
CAN_2_bin.176,contig_3015_pilon_1316,K02035,pit,Phosphate,Phosphate_transport
CAN_2_bin.176,contig_3015_pilon_1322,K04561,norB,Denitrification,NO_to_N2O
CAN_2_bin.176,contig_3015_pilon_1561,K02035,pit,Phosphate,Phosphate_transport
CAN_2_bin.176,contig_3015_pilon_1741,K00702,glgB,Glycogen,Glycogen_branching
CAN_2_bin.176,contig_3015_pilon_1748,K00376,nosZ,Denitrification,N2O_to_N2
CAN_2_bin.176,contig_4659_pilon_210,K00688,glgP,Glycogen,Glycogen_degradation
CAN_2_bin.176,contig_4659_pilon_355,K02040,pstS,Phosphate,Phosphate_transport
