asv,gpu_vs_pipe_top20_overlap,gpu_top1_in_pipeline_top20,gpu_top1_is_pipeline_top1,prefilter_missed_top20_hits,pipeline_hits_outside_gpu_top500,gpu_best_score,pipeline_best_score
003284e7643a47fcdab27891cced2a66,20,True,True,0,0,732.0,732.0
00513cae3b2877bc7a7730f40312f97f,20,True,True,0,0,586.0,586.0
005cf4f1d005d86d57ffdd01808ea21e,20,True,True,0,0,725.0,725.0
006a3bfa4e7ea6a4788e31b776b7e6c1,20,True,True,0,0,721.0,721.0
00857485ad05de1627ccc3881aaabdb0,20,True,True,0,0,633.0,633.0
009564af4e60c5118899caed7c0dd586,20,True,True,0,0,735.0,735.0
00a674ff1b3eedd6d12d958bed100a74,20,True,True,0,0,653.0,653.0
00c3ca16f3d6ddeff7533f98676fa214,20,True,True,0,0,733.0,733.0
00db0c0419e71a3222dc483990c535b9,4,True,True,16,16,320.0,320.0
00dd8e42dc15418793a226b9e5a15faf,7,True,True,13,0,104.0,104.0
00f36962721c382fa009aab208745ba0,20,True,True,0,0,735.0,735.0
00f9ebbd116e56c9858776b48b74565e,20,True,True,0,0,772.0,772.0
00fb9aad4ff840201dfcb1ca02405c04,4,True,True,16,16,322.0,322.0
010986139ed60489250b7a421e4d63d9,20,True,True,0,0,710.0,710.0
010c4e8cfb1c11912d23e854660dd57b,20,True,True,0,0,613.0,613.0
011befe1668bc005622daeaefd053a7b,20,True,True,0,0,600.0,600.0
012538fa4337eb1e9e3874a2e0792491,20,True,True,0,0,760.0,760.0
0138936a169c4a0914606cedbcd38fa6,20,True,True,0,0,729.0,729.0
01678bd1450874fd4ee087d0d2ee5349,20,True,True,0,0,707.0,707.0
016fa797236db441417c96f55f929969,20,True,True,0,0,668.0,668.0
01a7c19fe64d4300e6e5a8a7280a10bb,20,True,True,0,0,744.0,744.0
01e6385565684b446c620b0be139197b,4,True,True,16,16,320.0,320.0
0201ad826209ed7fb2b6de607f76957e,20,True,True,0,0,673.0,673.0
0203cb85481b6a76d794ca9f1001c499,20,True,True,0,0,676.0,676.0
024ff7a3d8178eb2902938d9b3559288,20,True,True,0,0,740.0,740.0
026170bed2fa94c8277a5244500b93cd,20,True,True,0,0,718.0,718.0
026600da36b900cf6ff6ee481b90793a,20,True,True,0,0,748.0,748.0
027118164bf6cedbd3fbb210686cc4a4,20,True,True,0,0,723.0,723.0
027867aaaa14717d1963e634425f886e,20,True,True,0,0,719.0,719.0
02969019e96fef0fe3e2f02f38316afa,20,True,True,0,0,596.0,596.0
02b7af11150741f6de128690c4aa3340,20,True,True,0,0,724.0,724.0
02ba8019542c93b74df972fc25fe10af,20,True,True,0,0,756.0,756.0
02da44e500ade6eb6bd919f883d0dd32,20,True,True,0,0,612.0,612.0
02f9493dbcd235f6075e0e3ae622c7ca,20,True,True,0,0,693.0,693.0
030b136dcdd837ecdce0a7a95adc2d56,19,True,True,1,0,748.0,748.0
03174ff6cb4a5f7bcc5b7e4ef924c60e,20,True,True,0,0,770.0,770.0
032641f730d95c79b76dd4cbae0c246d,20,True,True,0,0,745.0,745.0
033af4ac7057fa72e75b20588418c9ce,19,True,True,1,0,672.0,672.0
034e485b2f313e4a9185045f02cc7220,20,True,True,0,0,718.0,718.0
0352c42e74bd96a671fe5854263a5f5e,20,True,True,0,0,756.0,756.0
038885272dbaefde0423e01959faac01,20,True,True,0,0,525.0,525.0
039bd133ce59253899414b6c8ba6d67e,20,True,True,0,0,642.0,642.0
039cb9ac8d5af2c99ca408814ddc77d1,20,True,True,0,0,743.0,743.0
03ba4c458f3389eca8eb21b22290ed10,20,True,True,0,0,736.0,736.0
03bed64096e13e23200fd80d0ae715cb,20,True,True,0,0,541.0,541.0
03d60eb1912411d9516686d1c0e8d77a,20,True,True,0,0,743.0,743.0
03ed5312cd679b937d3c7931ab12461a,20,True,True,0,0,542.0,542.0
03f4e6a353b02382d205f0d832831e81,20,True,True,0,0,735.0,735.0
03f77fdbf7ce18584760066d1364d36c,20,True,True,0,0,727.0,727.0
03fd988de7a0981d1db2c0b6d206c259,20,True,True,0,0,701.0,701.0
040c74eae6a3629f697268413ded437a,20,True,True,0,0,694.0,694.0
042ad52e2c8d4dce2d2cc2e796463849,20,True,True,0,0,700.0,700.0
0435b3a5879a68e5afbc66915ecda61d,20,True,True,0,0,728.0,728.0
04790f5aba82b91059a546812ad694dc,20,True,True,0,0,738.0,738.0
0480b6a16673d25ac01d1da0b2833512,20,True,True,0,0,738.0,738.0
0493af645ecdf91cff6896ec5d5aca21,20,True,True,0,0,481.0,481.0
049a47aba1aa118b203038be18526b1b,20,True,True,0,0,731.0,731.0
049e6f182990799b700d79450499710f,20,True,True,0,0,744.0,744.0
04bc2a095282907ef4df7a2a9447166f,20,True,True,0,0,748.0,748.0
04c76aef3814297a297700d39de56c6c,20,True,True,0,0,695.0,695.0
04cf15134dd14ddeb54a2e95c09d4349,20,True,True,0,0,740.0,740.0
04dee080600d54204c5137107b0f3bc7,18,True,True,0,0,539.0,539.0
04f5c0bee93d6ee05c38c74e0bc674ce,20,True,True,0,0,729.0,729.0
04f675d15a1bc17e4b7e8c7893e1a816,20,True,True,0,0,678.0,678.0
04f9300ab6041a85696e8ea5a232b1cb,20,True,True,0,0,739.0,739.0
0501fa310449443c35bacacdd60bbf34,20,True,True,0,0,775.0,775.0
0502fdd9c919fd2982a93b66cda6697d,20,True,True,0,0,428.0,428.0
051d14c7d7e9a5358e8da8a52b48bca3,20,True,True,0,0,675.0,675.0
0522f424a0ae2c7f046c5bcafebbc0ca,20,True,True,0,0,738.0,738.0
0528c8d6cf081ba719cf96cb550150fb,20,True,True,0,0,733.0,733.0
053bd1513e7a8fbb621acfa37d09c4b2,20,True,True,0,0,463.0,463.0
05797ff5d08a4c360d45bd689238c2f1,20,True,True,0,0,215.0,215.0
057bcefe7d185d0daf7b610144b1fa59,20,True,True,0,0,743.0,743.0
05b92f31a7635c80f9228282dfe2b96b,20,True,True,0,0,534.0,534.0
05c2b2196ce76f5eab58355bd11f5964,20,True,True,0,0,707.0,707.0
05fd476024a64f2da18888c8cd557724,20,True,True,0,0,760.0,760.0
060668a761747dc3cbb3600cf5edeb83,18,True,True,2,0,672.0,672.0
0620149226837b0dc24e722a745740cf,20,True,True,0,0,729.0,729.0
06288435b328d35994bcc8f72ea0fc3a,20,True,True,0,0,730.0,730.0
062e7dbc610b8b01dd84f42a754d5060,20,True,True,0,0,740.0,740.0
063669beab0e471ace7cbc32283416e9,20,True,True,0,0,744.0,744.0
0639fb06d056d80fbc504c42c4169a68,19,True,True,0,0,622.0,622.0
063e3c61d923929c5cba4b90a947805a,20,True,True,0,0,743.0,743.0
065262b748557031f638872e76923c72,20,True,True,0,0,744.0,744.0
0654e615fe3e9b0487505848dc4dbb78,20,True,True,0,0,739.0,739.0
065a98742b20d730265fb45221fd34c4,20,True,True,0,0,744.0,744.0
06894625cc4725640c9c1bba0d9aefc8,20,True,True,0,0,739.0,739.0
06c4ab89a8abc60620b11d6b8eea8592,20,True,True,0,0,742.0,742.0
06ccbfa9dbe3fb9fac793fe2c480825c,20,True,True,0,0,673.0,673.0
06d64517fda152cd491385c24677d09a,4,True,True,16,16,322.0,322.0
06e148ad8b35489ea97e51ef733e9550,20,True,True,0,0,740.0,740.0
06e4bf90950ed9dead32a26e0b26aa88,20,True,True,0,0,638.0,638.0
06e777dc86f294846df60a1bdcfe6530,20,True,True,0,0,696.0,696.0
06f43456e63206281ba1162e4e6d66d4,20,True,True,0,0,718.0,718.0
06f8906355750050f44895281f3523fb,20,True,True,0,0,730.0,730.0
0706c8897410dc86c4fe695f43953448,20,True,True,0,0,703.0,703.0
070f6743fd9c43985346d7912cd11526,19,True,True,1,0,738.0,738.0
0717fa5cad93ab5cb1a3e9929e7014c1,20,True,True,0,0,765.0,765.0
071b20ea2fe191bc56e1001e3c3ef244,20,True,True,0,0,739.0,739.0
07246a1fc2c2fed9e54374f5ee46c333,20,True,True,0,0,750.0,750.0
0740074747aaa37414ce56733c3f3259,20,True,True,0,0,739.0,739.0
074805110994d976b97dcfaeb0ad4352,20,True,True,0,0,751.0,751.0
07640d1fcdb6b920c0b4257f7c9c028e,20,True,True,0,0,728.0,728.0
0770fd1ca9e37cef3ffdf1ba2abc344f,20,True,True,0,0,743.0,743.0
07c181c387580192eace1408605a1b7c,20,True,True,0,0,596.0,596.0
07c684ece86de1b12bf432870683e62b,20,True,True,0,0,746.0,746.0
07d3708e3046a2846a0b1cc67846a658,19,True,True,1,0,747.0,747.0
07d8bf1afa43126d7ab9ca4fefad8259,20,True,True,0,0,760.0,760.0
0803dcf438801c4492629e7ca94cca2e,20,True,True,0,0,580.0,580.0
080c84745ca48dd0e7ef7580df83bafb,20,True,True,0,0,675.0,675.0
0814110fd0410b6f675526dc4d4a32fb,20,True,True,0,0,737.0,737.0
081f8228264f0575df0146e28439e003,20,True,True,0,0,563.0,563.0
0823828b2221b4beaeefdd50d8fed560,20,True,True,0,0,567.0,567.0
082b496c934ad5588dc586bb303faaa2,20,True,True,0,0,510.0,510.0
084030429e088059ae5059384cda46eb,20,True,True,0,0,700.0,700.0
08409eb55d39ef45b31d93c3d30fd901,19,True,True,1,0,693.0,693.0
08511b3b442d76f7c9485dde8b381b03,20,True,True,0,0,695.0,695.0
088ee4c48bc3cb0ca751d3c465b56453,20,True,True,0,0,762.0,762.0
08b11eeb13a43fb517114963b350df70,20,True,True,0,0,730.0,730.0
08d10673b70f3d8b078a149a25d94b19,20,True,True,0,0,748.0,748.0
08ea1c9b9d368cd6d9bfeb8857e90315,20,True,True,0,0,743.0,743.0
08f430e113701ebb008a1c63622e9e5e,20,True,True,0,0,703.0,703.0
