user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
CAN_1_bin.148	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dokdonella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dokdonella;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	88.34	11	0.98092	N/A
CAN_1_bin.174	d__Bacteria;p__Patescibacteria;c__JAEDAM01;o__BD1-5;f__UBA2023;g__UBA5532;s__UBA5532 sp002426885	GCA_002426885.1	95.0	d__Bacteria;p__Patescibacteria;c__JAEDAM01;o__BD1-5;f__UBA2023;g__UBA5532;s__UBA5532 sp002426885	95.25	0.836	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
CAN_1_bin.177	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pararhodobacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pararhodobacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	96.39	11	0.98745	N/A
CAN_1_bin.180	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__UBA2316;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__UBA2316;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	92.99	11	0.9563	N/A
CAN_1_bin.195	d__Bacteria;p__Patescibacteria;c__ABY1;o__BM507;f__UBA917;g__UBA919;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__ABY1;o__BM507;f__UBA917;g__UBA919;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	72.93	11	0.93906	N/A
CAN_1_bin.2	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__B-1AR;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__B-1AR;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	95.35	11	0.9103	N/A
CAN_1_bin.210	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dokdonella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dokdonella;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	92.02	11	0.9904	N/A
CAN_1_bin.48	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__GWB1-50-10;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__GWB1-50-10;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	65.84	11	0.81119	N/A
CAN_1_bin.5	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__UBA1573;s__UBA1573 sp002425415	GCA_002425415.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__UBA1573;s__UBA1573 sp002425415	99.08	0.883	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
CAN_1_bin.77	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5066;f__UBA5066;g__UBA5066;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5066;f__UBA5066;g__UBA5066;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	91.72	11	0.97963	N/A
