genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
CAN_1_bin.124.fa,1_1,0.050000000000000044,average,skani,1
CAN_5_bin.79.fa,1_1,0.050000000000000044,average,skani,1
coasm_bin.518.fa,1_1,0.050000000000000044,average,skani,1
CAN_4_bin.205.fa,2_1,0.050000000000000044,average,skani,2
coasm_bin.385.fa,2_1,0.050000000000000044,average,skani,2
CAN_4_bin.215.fa,3_1,0.050000000000000044,average,skani,3
coasm_bin.561.fa,3_1,0.050000000000000044,average,skani,3
CAN_5_bin.180.fa,4_1,0.050000000000000044,average,skani,4
coasm_bin.287.fa,4_1,0.050000000000000044,average,skani,4
coasm_bin.22.fa,5_0,0.050000000000000044,average,skani,5
CAN_5_bin.150.fa,6_1,0.050000000000000044,average,skani,6
coasm_bin.230.fa,6_1,0.050000000000000044,average,skani,6
CAN_4_bin.199.fa,7_1,0.050000000000000044,average,skani,7
coasm_bin.25.fa,7_1,0.050000000000000044,average,skani,7
coasm_bin.532.fa,8_0,0.050000000000000044,average,skani,8
CAN_1_bin.48.fa,9_1,0.050000000000000044,average,skani,9
CAN_2_bin.170.fa,9_1,0.050000000000000044,average,skani,9
CAN_3_bin.143.fa,9_1,0.050000000000000044,average,skani,9
coasm_bin.554.fa,9_1,0.050000000000000044,average,skani,9
CAN_4_bin.169.fa,10_1,0.050000000000000044,average,skani,10
CAN_5_bin.48.fa,10_1,0.050000000000000044,average,skani,10
coasm_bin.489.fa,10_1,0.050000000000000044,average,skani,10
CAN_1_bin.195.fa,11_1,0.050000000000000044,average,skani,11
CAN_2_bin.138.fa,11_1,0.050000000000000044,average,skani,11
CAN_3_bin.52.fa,11_1,0.050000000000000044,average,skani,11
CAN_4_bin.54.fa,11_1,0.050000000000000044,average,skani,11
CAN_5_bin.178.fa,11_1,0.050000000000000044,average,skani,11
coasm_bin.574.fa,11_1,0.050000000000000044,average,skani,11
CAN_4_bin.202.fa,12_1,0.050000000000000044,average,skani,12
coasm_bin.24.fa,12_1,0.050000000000000044,average,skani,12
CAN_4_bin.63.fa,13_1,0.050000000000000044,average,skani,13
coasm_bin.388.fa,13_1,0.050000000000000044,average,skani,13
CAN_4_bin.16.fa,14_1,0.050000000000000044,average,skani,14
coasm_bin.41.fa,14_1,0.050000000000000044,average,skani,14
CAN_4_bin.34.fa,15_1,0.050000000000000044,average,skani,15
CAN_5_bin.42.fa,15_1,0.050000000000000044,average,skani,15
coasm_bin.499.fa,15_1,0.050000000000000044,average,skani,15
CAN_4_bin.76.fa,16_0,0.050000000000000044,average,skani,16
CAN_5_bin.145.fa,17_1,0.050000000000000044,average,skani,17
coasm_bin.575.fa,17_1,0.050000000000000044,average,skani,17
CAN_1_bin.31.fa,18_1,0.050000000000000044,average,skani,18
CAN_3_bin.80.fa,18_1,0.050000000000000044,average,skani,18
coasm_bin.441.fa,18_1,0.050000000000000044,average,skani,18
CAN_3_bin.145.fa,19_1,0.050000000000000044,average,skani,19
CAN_4_bin.166.fa,19_1,0.050000000000000044,average,skani,19
coasm_bin.463.fa,19_1,0.050000000000000044,average,skani,19
CAN_2_bin.59.fa,20_1,0.050000000000000044,average,skani,20
CAN_3_bin.102.fa,20_1,0.050000000000000044,average,skani,20
CAN_4_bin.50.fa,20_1,0.050000000000000044,average,skani,20
CAN_5_bin.100.fa,20_1,0.050000000000000044,average,skani,20
CAN_4_bin.38.fa,21_0,0.050000000000000044,average,skani,21
CAN_1_bin.209.fa,22_1,0.050000000000000044,average,skani,22
coasm_bin.161.fa,22_1,0.050000000000000044,average,skani,22
CAN_1_bin.127.fa,23_1,0.050000000000000044,average,skani,23
CAN_3_bin.149.fa,23_1,0.050000000000000044,average,skani,23
CAN_4_bin.238.fa,23_1,0.050000000000000044,average,skani,23
CAN_5_bin.21.fa,23_1,0.050000000000000044,average,skani,23
coasm_bin.564.fa,23_1,0.050000000000000044,average,skani,23
CAN_1_bin.95.fa,24_1,0.050000000000000044,average,skani,24
coasm_bin.389.fa,24_1,0.050000000000000044,average,skani,24
CAN_1_bin.101.fa,25_1,0.050000000000000044,average,skani,25
CAN_3_bin.50.fa,25_1,0.050000000000000044,average,skani,25
coasm_bin.512.fa,25_1,0.050000000000000044,average,skani,25
coasm_bin.115.fa,26_0,0.050000000000000044,average,skani,26
coasm_bin.206.fa,27_0,0.050000000000000044,average,skani,27
