abundance_day,COD-Inf [mg/L],P-Inf [mg/L],P-return [mg/L],N-Inf [mg/L],COD:P,COD:N,N:P,P_An-1 [mg/L],Acetate ppm [mg/L],Propionate ppm [mg/L],Acetate ppm [COD mg/L],Propionate ppm [COD mg/L],COD_An_1 [COD mg/L],P_An-2 [COD mg/L],COD_An_2 [COD mg/L],DO_An-1 [mg/L],DO_An-2 [mg/L],OPR_An-1 [mV],OPR_An-2 [mV],An_time [minutes],P_Ax-1 [mg/L],N_Ax-1 [mg/L],P_Ax-2 [mg/L],N_Ax-2 [mg/L],peakN2O [mg/L],pN2O_time [minutes],ORP_Ax-2 [mV],Ax_react_time [minutes],Ax_time [minutes],P_A-1 [mg/L],P_A-2 [mg/L],A_time [minutes],MLSS,MLSS [avg],SRT,COD removal [COD%],N removal [N%],N to N2O conversion [N2O%],P removal [P%],Cod removal (ppm) [COD-ppm],N removal (ppm) [N-ppn],P removal (ppm) [P-ppm],Anoxic P removal [ANO-P-ppm],Aerobic P removal [AER-P-ppm],denitrification rate [mg NO2–N  h−1],specific denitrification rates [mg NO2–N g−1 VSS−1 h−1]
-239,,,,,,,,,,,,,,,,9.54,,,,80.0,,,,,,,,175.0,180.0,,,100.0,,3740.000000000009,,,,,,,,,,,,
-238,69.676,9.05,22.7,4.49,7.69900552486188,7.75902004454343,0.992265193370166,17.9,,,,,34.838,29.0,2.87,1.12,0.23,-72.0,-165.0,80.0,29.0,4.49,34.8,1e-05,,,-163.0,175.0,180.0,34.8,6.949999999999999,100.0,,3740.000000000009,,0.9588093461163096,0.999997772828508,0.0,0.2320441988950276,66.806,4.489990000000001,2.0999999999999996,-5.799999999999997,27.85,1.539425142857143,0.4116110007639409
-237,71.676,9.05,22.7,4.49,7.920000000000001,7.981737193763919,0.992265193370166,17.9,,,,,35.838,29.0,2.87,2.06,0.23,-72.0,-165.0,80.0,29.0,4.49,34.8,1e-05,,,-163.0,175.0,180.0,34.8,6.949999999999999,100.0,3740.000000000009,3740.000000000009,47.341772151898304,0.9599587030526257,0.999997772828508,0.0,0.2320441988950276,68.806,4.489990000000001,2.0999999999999996,-5.799999999999997,27.85,1.539425142857143,0.4116110007639409
-236,84.213,9.05,17.472,5.8475,8.96623211446741,7.52138354048423,1.2370446819910585,15.129999999999999,,,,,42.106500000000004,25.3,2.8325,5.61,,,,80.0,0.0,5.8475,29.049999999999997,1e-05,,,,175.0,180.0,0.0,7.222499999999999,100.0,,3740.000000000009,,0.9643872043317597,0.999998077605252,0.000252016383081025,1.0,81.3805,5.8474900000000005,2.081,-3.749999999999998,21.8275,2.0048537142857144,
-235,96.75,9.05,12.244,7.205,10.01246422893482,7.0610298872045405,1.481824170611951,12.36,,,,,48.375,21.6,2.795,9.49,,,,80.0,0.0,7.205,23.299999999999997,1e-05,,,,175.0,180.0,0.0,7.494999999999999,100.0,,3740.000000000009,,0.9688157056108938,0.999998382381996,0.00050403276616205,1.0,93.955,7.2049900000000004,2.0620000000000003,-1.6999999999999984,15.805,2.470282285714286,
-234,109.287,9.05,7.016,8.5625,11.058696343402229,6.600676233924851,1.7266036592328435,9.59,,,,,54.6435,17.9,2.7575000000000003,7.24,,,,80.0,0.0,8.5625,17.55,1e-05,,,,175.0,180.0,0.0,7.767499999999999,100.0,,3581.6666666666756,,0.9732442068900279,0.9999986871587401,0.000756049149243075,1.0,106.5295,8.56249,2.0430000000000006,0.3500000000000014,9.782499999999999,2.9357108571428574,
-233,121.824,10.064,1.788,9.92,12.104928457869637,6.140322580645162,1.971383147853736,6.82,,,,,60.912000000000006,14.2,2.72,7.58,0.22272727272727272,,,80.0,14.2,9.92,11.8,1e-05,0.0099999999999999,,,175.0,180.0,11.8,8.04,100.0,,3423.3333333333426,,0.977672708169162,0.999998991935484,0.0010080655323241,0.2011128775834659,119.104,9.91999,2.024000000000001,2.4000000000000004,3.76,3.4011394285714287,0.6828806214887962
-232,125.028,10.064,2.491142857142857,9.848571428571429,11.911228863398586,6.356946197422878,1.8903105286904707,7.831428571428572,,,,,62.514,16.428571428571427,3.440857142857143,6.44,0.22090909090909092,,,80.0,0.0,9.848571428571429,12.82857142857143,1e-05,0.04499999999999995,,,175.0,180.0,0.0,8.268571428571429,100.0,3344.1666666666756,3265.000000000009,38.668515215627224,0.9731714152939773,0.9999989842916827,0.0070818365048768706,1.0,121.58714285714287,9.84856142857143,2.2748571428571434,3.6000000000000005,4.56,3.3766496326530615,0.7506980266700101
-231,128.232,10.064,3.194285714285714,9.777142857142858,11.717529268927535,6.573569814200593,1.8092379095272055,8.842857142857143,,,,,64.116,18.65714285714286,4.161714285714286,8.08,0.2190909090909091,,,80.0,0.0,9.777142857142858,13.857142857142858,1e-05,0.08,,,175.0,180.0,0.0,8.497142857142856,100.0,3265.000000000009,3106.666666666676,36.93386382837301,0.9686701224187927,0.9999989766478814,0.013155607477429642,1.0,124.07028571428572,9.777132857142858,2.5257142857142862,4.800000000000001,5.359999999999999,3.352159836734694,0.8185154318512239
-230,131.436,10.064,3.897428571428571,9.705714285714286,11.523829674456485,6.790193430978309,1.7281652903639402,9.854285714285714,,,,,65.718,20.885714285714286,4.882571428571429,8.16,0.21727272727272728,,,80.0,0.0,9.705714285714286,14.885714285714286,1e-05,0.09,,,175.0,180.0,0.0,8.725714285714286,100.0,3185.833333333342,2948.333333333342,35.199212441118796,0.964168829543608,0.99999896900408,0.019229378449982414,1.0,126.55342857142858,9.705704285714287,2.7765714285714287,6.0,6.16,3.3276700408163267,0.8863328370324377
